pitcher_id,pitcher_name,pitch_type,count,pitch_percent,rhh_percent,lhh_percent,start_speed,max_start_speed,ivb,hb,release_pos_z,release_pos_x,extension,tj_stuff_plus
641582,Matt Foster,FF,347,0.5455974842767296,0.5495750708215298,0.5406360424028268,92.98242074927953,95.4,15.297406340057634,4.132276657060515,6.062652133819119,1.382855271560933,5.94474056287413,92.12057268401232
621199,Matt Bowman,SI,237,0.36973478939157567,0.43137254901960786,0.29225352112676056,90.87383966244721,93.0,4.407594936708857,16.79915611814347,5.6172128595926685,4.16099789265466,6.728014297405548,99.48219216585024
666120,Ian Anderson,SL,41,0.06146926536731634,0.09734513274336283,0.024390243902439025,83.76097560975609,86.9,2.6414634146341465,-2.192682926829269,6.116168490577311,1.6470322760108436,6.8564529442007585,99.20946785453432
663536,Tristin English,FC,16,0.6956521739130435,0.9166666666666666,0.45454545454545453,88.96874999999999,91.8,10.156249999999998,-1.3875,6.443070560581244,0.947864497287402,5.6022864982420595,92.46113189911871
814005,Jake Bloss,SI,30,0.0650759219088937,0.1070110701107011,0.005263157894736842,93.27666666666666,96.5,14.393333333333334,12.723333333333331,5.848618736545467,1.6572218776030876,6.874289313711724,93.5698982391716
681982,Grant Anderson,FF,10,0.35714285714285715,0.07142857142857142,0.6428571428571429,92.35,93.6,11.34,11.08,4.690137936382726,2.432080073567248,6.325544115938179,97.18095380411003
667652,Jack Ralston,CH,105,0.2900552486187845,0.23628691983122363,0.392,82.43999999999997,85.8,3.3152380952380964,9.449523809523805,7.078456661882665,0.27213728948518606,5.660024757160286,99.12972299893055
691946,George Klassen,CH,7,0.07865168539325842,0.04081632653061224,0.125,88.52857142857144,89.7,5.114285714285714,12.557142857142859,5.50351369904532,2.401400963349545,6.494818839600979,97.17279418654162
669724,Brenan Hanifee,CH,2,0.021739130434782608,0.0,0.08,89.30000000000001,89.9,1.2,14.25,5.508959472123951,2.66641315568256,6.040887589949198,90.58538278655436
681077,Michael Knorr,CH,71,0.13003663003663005,0.09219858156028368,0.17045454545454544,82.44225352112672,85.1,0.3619718309859154,7.16056338028169,5.587074456353669,1.936810094062779,6.8797451213025465,98.73727908438595
702103,Zach Franklin,CU,29,0.12184873949579832,0.19696969696969696,0.02830188679245283,85.3758620689655,88.6,5.593103448275863,-6.182758620689655,5.591331109042762,1.5920150435721154,6.2698882181598945,104.19906638914954
802609,John Michael Bertrand,SL,25,0.15151515151515152,0.08163265306122448,0.2537313432835821,75.82,78.1,-5.816,-11.747999999999998,6.3666763285509385,2.032427093197323,5.9096854840582855,93.75729449570318
669081,Jack Dashwood,FF,388,0.4054336468129572,0.42512908777969016,0.375,91.96675257731957,94.9,13.31520618556702,7.931443298969068,6.400056999429775,2.1047434480263383,6.343247673615604,81.82639424703049
683068,Zach Penrod,CH,155,0.2164804469273743,0.296127562642369,0.09025270758122744,87.7303225806452,94.1,7.4877419354838715,13.850322580645159,6.089876208035187,2.4621011028299855,6.5520013775619255,98.83985067356598
643361,Kevin Herget,CH,329,0.4470108695652174,0.4260204081632653,0.47093023255813954,81.65440729483285,85.3,10.717933130699091,16.408206686930093,6.249134365491848,1.5063300596261104,5.563684383615813,104.0055495749404
682044,Sean Boyle,ST,865,0.3973357831878732,0.4348914858096828,0.35137895812053116,78.75930635838154,83.1,3.639421965317918,-14.357341040462417,4.985390117558854,3.065400935166898,6.562879421550743,102.57267631720023
679156,Walter Pennington,SI,3,0.12,0.08695652173913043,0.5,89.23333333333333,90.8,6.933333333333334,11.1,5.632528075019774,3.283714215160403,5.848937199539965,86.46854880247713
688214,Ryan Jennings,SL,223,0.2892347600518807,0.3485838779956427,0.20192307692307693,86.6762331838565,88.6,5.073094170403589,2.3766816143497738,5.67311915308128,2.453576211022532,6.008102652037652,97.80660376072987
675919,Nick Raquet,CH,15,0.05905511811023622,0.0967741935483871,0.0,85.69333333333334,88.4,2.74,9.026666666666667,5.691737759983736,1.6352736155738858,6.445760350709411,95.90105108832981
681217,Chase Silseth,ST,135,0.18854748603351956,0.27927927927927926,0.10966057441253264,82.9837037037037,87.2,-2.133333333333334,-10.256296296296295,5.670935881873161,1.9531353761997454,5.625256034678621,102.42889490998682
656818,Connor Overton,FC,16,0.12213740458015267,0.08823529411764706,0.2413793103448276,86.58749999999999,88.1,9.4625,-1.9437499999999999,6.003368777694347,1.8723202553365266,5.799431105542102,100.07663402841236
687486,Fineas Del Bonta-Smith,FF,31,0.5254237288135594,0.56,0.5,92.55483870967741,94.6,15.687096774193552,9.154838709677422,5.2409220704108925,1.6302527449821884,6.4771452375105865,97.21565614656734
695034,Kade Morris,CH,88,0.05442176870748299,0.004722550177095631,0.10909090909090909,87.38636363636361,90.2,0.5431818181818183,13.042045454545452,4.764702600423173,2.531479936810668,6.530174436103801,92.5706862638931
701288,Jacob Webb,FF,90,0.41284403669724773,0.4205607476635514,0.40540540540540543,93.30555555555553,95.5,16.672222222222224,8.079999999999997,5.659076868952318,2.321687664801709,7.237538509945884,105.86847718060011
691384,Luis Perales,SL,2,0.06896551724137931,0.08333333333333333,0.058823529411764705,85.15,85.6,2.4499999999999997,4.2,5.833257923827075,0.8886817080509286,6.294191879559562,90.16799512862512
