"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
102,666201,"Manoah, Alek",307,33.2,0.174,0,0.211,0.174,0.198,,,4,23,78.7,20.1,1937,85.4,86.59,15,52,50,1.1999999999999886,7.06,109,145,118,147,296,320,300,"2.58","-2.58",,,,25,19,4,0,0,0,4,16,2,8,"2.38","0.75","1.23","-0.29","91.2",113,27.77777777777778,0,0,6,-2.21,-0.2,1.9,0.24,0,"-2.529411765",,,"2.529411765",,,,,28.8,,,,,,,
99,665795,"Cabrera, Edward",293,33.8,0.32,0.28,0.353,0.6,0.425,,,8,25,92.7,12.9,1733,93.2,93.49,15,61,38,0.29999999999999716,6.35,113,148,112,151,296,332,309,"-1.702","1.702",,,,28,19,5,1,0,2,6,21.4,3,10.7,"2.21","0.41","1.32","-0.61","95.7",143,73.68421052631578,15.789473684210526,10.714285714285714,6,-1.21,-0.22,2.09,0.393,3,"1.719191919",,,"-1.719191919",,,,,24.6,,,,,,,
90,676282,"Cantillo, Joey",333,27,0.188,0.125,0.429,0.313,0.296,,,3,16,89.9,11.9,1451,80.9,82.21,27,43,47,1.2999999999999972,7.18,112,152,122,147,298,323,299,"-0.59","0.59",,,,21,7,1,2,0,0,10,47.6,4,19,"2.49","1","0.83","-0.51","90.2",109,28.57142857142857,14.285714285714285,4.761904761904762,5.91,0.64,0.03,1.6,0.333,1,"0.655555556",,,"-0.655555556",,,,,62.8,,,,,,,
82,660761,"Suarez, José",242,33.9,0.105,0,0.167,0.105,0.247,,,2,19,84.7,6.7,1587,83.2,82.9,18,36,46,-0.29999999999999716,5.99,109,147,122,143,296,324,291,"0.491","-0.491",,,,27,12,2,0,0,0,8,29.6,7,25.9,"2.97","0.31","1.17","-0.88","92.3",117,33.33333333333333,8.333333333333332,3.7037037037037033,5.77,1.2,0.48,1.55,0.333,1,"-0.598780488",,,"0.598780488",,,,,50,,,,,,,
79,641927,"Ober, Bailey",217,36.4,0.263,0,0.333,0.263,0.298,,,5,19,83.1,1.6,2054,82.8,83.64,12,45,34,0.7999999999999972,6.98,114,149,121,150,284,318,287,"0.254","-0.254",,,,22,15,5,0,0,0,4,18.2,3,13.6,"2.85","0.49","1.47","-0.06","90.8",112,26.666666666666668,0,0,6.06,-1.62,-0.04,2.09,0.364,0,"-0.321518987",,,"0.321518987",,,,,26.7,,,,,,,
75,605182,"Clevinger, Mike",288,26,0.25,0.188,0.273,0.438,0.391,,,4,16,92.9,8,1474,87.8,88.56,15,37,38,0.7999999999999972,6.67,118,147,123,151,290,313,286,"-1.444","1.444",,,,21,12,3,0,0,1,4,19,5,23.8,"2.55","0.4","0.99","-0.84","94.3",117,41.66666666666667,16.666666666666664,9.523809523809524,5.63,-1.59,-0.18,1.98,0.429,2,"1.925333333",,,"-1.925333333",,,,,40.5,,,,,,,
75,650633,"King, Michael",338,22.2,0.32,0.6,0.25,0.92,0.501,,,8,25,89.4,12.9,1997,86.3,85.71,14,52,23,-0.5999999999999943,5.84,117,148,123,151,291,320,294,"-7.331","7.331",,,,27,20,2,1,1,4,6,22.2,1,3.7,"2.57","0.48","1.34","-0.78","93.7",177,55.00000000000001,15,11.11111111111111,5.3,-3,-0.32,1.99,0.333,3,"9.774666667",,,"-9.774666667",,,,,26.9,,,,,,,
72,594835,"Gonzales, Marco",285,25.3,0.478,0.13,0.733,0.609,0.499,,,11,23,85.7,11.3,2094,81.6,81.36,13,42,30,-0.19999999999998863,6.34,117,149,122,148,307,325,298,"-4.622","4.622",,,,26,15,9,1,1,0,8,30.8,3,11.5,"3.1","0.35","1.41","-0.63","91.6",109,33.33333333333333,0,0,5.28,2.46,0.13,1.78,0.538,0,"6.419444444",,,"-6.419444444",,,,,31,,,,,,,
69,607259,"Martinez, Nick",262,26.3,0.273,0.091,0.333,0.364,0.295,,,6,22,83.9,15.8,1650,78,77.74,8,36,33,-0.29999999999999716,6.04,110,149,122,149,306,320,292,"-0.652","0.652",,,,23,18,4,2,0,0,4,17.4,1,4.3,"3.26","0.48","0.87","-0.04","91.8",146,23.52941176470588,0,0,6.36,-1.6,-0.31,1.96,0.304,0,"0.944927536",,,"-0.944927536",,,,,22.2,,,,,,,
68,682608,"Gray, Peyton",157,43.3,0.133,0.067,0.333,0.2,0.178,,,2,15,94.9,10.2,1720,82.7,83.33,18,36,32,0.5999999999999943,6.73,120,149,118,150,306,324,304,"1.419","-1.419",,,,16,6,1,1,0,0,9,56.3,1,6.3,"3","0.33","1.25","-0.25","92.7",142,66.66666666666666,0,0,5.62,-2.84,-0.28,1.96,0.188,0,"-2.086764706",,,"2.086764706",,,,,50,,,,,,,
