"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
75,666157,"Lodolo, Nick",246,30.5,0.133,0.267,0.143,0.4,0.22,,,2,15,81.7,1.9,2659,81.5,80.88,11,26,49,-0.5999999999999943,5.86,111,149,113,149,293,326,297,"-1.131","1.131",,,,15,8,0,1,0,1,7,46.7,0,0,3.55147,-0.12233,-0.8436,-0.12733,"90.1",105,25,12.5,6.666666666666667,5.49,3.76,-0.08,1.82,0.133,1,"1.508",,,"-1.508",,,,,42.3,,,,,,,
75,694738,"Roupp, Landen",243,30.9,0.188,0.25,0.333,0.438,0.311,,,3,16,78.7,13.1,3063,77.2,76.32,12,26,49,-0.9000000000000057,5.88,109,148,114,148,304,329,299,"0.284","-0.284",,,,18,7,1,1,0,1,9,50,2,11.1,4.4776,-0.6188,-1.46613,-0.09387,"92.3",137,14.285714285714285,14.285714285714285,5.555555555555555,5.52,-1.98,0.26,1.51,0.278,1,"-0.378666667",,,"0.378666667",,,,,46.2,,,,,,,
71,605242,"Fulmer, Michael",180,39.4,0.143,0.429,0,0.571,0.312,,,3,21,77.1,6.1,2663,78.6,78.55,14,36,35,-0.09999999999999432,6.45,110,151,121,148,301,326,303,"-0.43","0.43",,,,22,12,0,0,0,3,9,40.9,0,0,3.91718,-0.20042,-1.46141,-0.60056,"90.7",128,25,16.666666666666664,9.090909090909092,5.94,-2.66,0.6,2.13,0.182,2,"0.605633803",,,"-0.605633803",,,,,38.9,,,,,,,
66,664285,"Valdez, Framber",236,28,0.2,0.15,0.5,0.35,0.256,,,4,20,93.7,23.5,2797,78.7,77.36,11,32,34,-1.2999999999999972,5.63,112,148,115,144,289,323,282,"-0.006","0.006",,,,21,8,1,3,0,0,12,57.1,1,4.8,4.96076,-1.23697,-1.00318,0.4153,"93.2",149,50,12.5,4.761904761904762,6.06,0.95,-0.39,1.59,0.238,1,"0.009090909",,,"-0.009090909",,,,,34.4,,,,,,,
62,682120,"Herrin, Tim",144,43.1,0.3,0.3,0.375,0.6,0.452,,,3,10,90.5,21,2310,80.8,80.53,4,25,37,-0.29999999999999716,6.21,112,151,121,147,300,320,292,"-1.598","1.598",,,,13,8,1,1,1,0,2,15.4,2,15.4,3.77581,-0.27,-0.85629,0.51661,"92.5",140,50,0,0,6.19,2.08,0.42,2.09,0.462,0,"2.577419355",,,"-2.577419355",,,,,16,,,,,,,
60,691945,"Baumler, Carter",132,45.5,0.188,0,0.3,0.188,0.198,,,3,16,81.7,-11.8,2535,84.7,84.52,6,19,41,-0.20000000000000284,6.31,116,149,120,151,302,319,308,"1.705","-1.705",,,,17,10,3,0,0,0,6,35.3,1,5.9,4.27117,-1.07667,-0.56633,0.18367,"89.7",61,20,0,0,5.63,-1.25,0.11,2.05,0.235,0,"-2.841666667",,,"2.841666667",,,,,31.6,,,,,,,
58,669445,"Laskey, Adam",201,28.9,0.333,0.5,0.333,0.833,0.419,,,2,6,95.4,27.3,2447,79.8,79.61,4,14,44,-0.20000000000000284,6.33,107,149,115,148,295,320,294,"-1.038","1.038",,,,7,4,1,0,0,1,3,42.9,0,0,4.67966,-1.07483,-0.51638,0.19603,"93.4",146,75,25,14.285714285714285,5.88,1.75,-0.26,2.01,0.286,1,"1.789655172",,,"-1.789655172",,,,,28.6,,,,,,,
56,543135,"Eovaldi, Nathan",257,21.8,0.077,0,0.167,0.077,0.069,,,1,13,82.1,25.5,1891,76,76.53,10,26,30,0.5,6.66,114,149,120,151,300,319,304,"1.712","-1.712",,,,13,6,1,0,0,0,7,53.8,0,0,4.56,-0.61161,-0.6675,0.1525,"90.6",147,16.666666666666664,0,0,5.74,-2.26,0.06,1.89,0.077,0,"-3.057142857",,,"3.057142857",,,,,38.5,,,,,,,
54,676282,"Cantillo, Joey",333,16.2,0.2,0,0.286,0.2,0.178,,,2,10,81.9,-3.8,2509,79,79.44,4,20,34,0.4000000000000057,6.86,112,152,122,147,299,322,300,"-0.968","0.968",,,,10,7,2,0,0,0,3,30,0,0,5.04722,-1.35759,-0.76593,0.51667,"89.2",65,16.666666666666664,0,0,6.08,0.74,0.05,1.99,0.2,0,"1.792592593",,,"-1.792592593",,,,,20,,,,,,,
53,806188,"Gibson, Cade",180,29.4,0.3,0.1,0.6,0.4,0.398,,,3,10,83.2,0.6,2968,79.6,78.42,7,23,30,-1.1999999999999886,5.79,112,147,125,145,290,316,288,"-0.77","0.77",,,,13,5,2,1,0,0,5,38.5,2,15.4,4.84491,-1.20849,-1.15415,0.93604,"91.7",155,20,0,0,5.94,2.19,-0.39,1.86,0.462,0,"1.452830189",,,"-1.452830189",,,,,30.4,,,,,,,
