"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
112,696270,"Johnson, Ryan",341,32.8,0.111,0.148,0.143,0.259,0.211,,,3,27,81.2,28.4,2461,91.3,91.39,22,63,49,0.10000000000000853,6.12,110,147,118,151,297,325,297,"1.478","-1.478",,,,30,15,1,1,0,1,12,40,2,6.7,"1.95","0.76","-0.16","0.06","89.9",159,13.333333333333334,0,0,6,-2.89,0.32,2.73,0.2,0,"-1.319642857",,,"1.319642857",,,,,34.9,,,,,,,
111,676440,"Bibee, Tanner",351,31.6,0.194,0.194,0.2,0.387,0.247,,,6,31,87.2,17.1,2665,85.6,85.98,23,61,50,0.4000000000000057,6.63,112,151,122,146,299,325,293,"1.262","-1.262",,,,31,22,4,0,0,2,9,29,0,0,"2.92","0.21","-0.63","-0.43","93.3",162,36.36363636363637,22.727272727272727,16.129032258064516,6.46,-2.1,0.71,1.88,0.194,5,"-1.136936937",,,"1.136936937",,,,,37.7,,,,,,,
102,593833,"Suero, Wander",136,75,0.115,0.077,0.167,0.192,0.151,,,3,26,82.7,26.5,2450,89.8,89.97,13,55,47,0.20000000000000284,6.42,109,151,121,149,296,315,287,"4.651","-4.651",,,,27,18,2,0,1,0,8,29.6,1,3.7,"1.59","1.24","0.16","0.01","89.9",203,35.294117647058826,0,0,5.19,-3.83,0.17,2.92,0.148,0,"-4.559803922",,,"4.559803922",,,,,23.6,,,,,,,
90,681867,"Criswell, Cooper",247,36.4,0.25,0.083,0.429,0.333,0.29,,,3,12,85.4,33.6,2227,87.6,88.4,14,38,52,0.8000000000000114,6.64,111,145,117,148,297,324,304,"0.476","-0.476",,,,13,7,2,1,0,0,5,38.5,0,0,"2.36","0.59","-0.04","0.01","89.6",126,14.285714285714285,0,0,4.96,-1.88,0.24,3.17,0.308,0,"-0.528888889",,,"0.528888889",,,,,36.8,,,,,,,
87,694477,"Patrick, Chad",263,33.1,0.381,0.286,0.438,0.667,0.478,,,8,21,91.7,23.8,2345,88.6,88.3,10,45,42,-0.29999999999999716,6.01,111,149,122,149,301,318,301,"-1.721","1.721",,,,24,17,4,3,0,1,4,16.7,3,12.5,"1.82","1.08","-0.21","-0.1","92.1",205,41.17647058823529,11.76470588235294,8.333333333333332,5.52,-1.23,0.32,2.76,0.458,2,"1.97816092",,,"-1.97816092",,,,,22.2,,,,,,,
79,693739,"Alberto, Alexander",136,58.1,0.45,0.1,0.529,0.55,0.481,,,9,20,90.5,-9.1,2080,97.5,98.94,7,34,45,1.4000000000000057,6.89,112,147,116,146,293,327,297,"-3.104","3.104",,,,24,17,7,2,0,0,3,12.5,4,16.7,"1.67","0.71","0.11","-0.07","92.9",123,52.94117647058824,0,0,5.55,-2.31,-0.02,2.4,0.542,0,"3.929113924",,,"-3.929113924",,,,,20.6,,,,,,,
78,641743,"Kay, Anthony",347,22.5,0.222,0.389,0.154,0.611,0.412,,,4,18,87.3,21.8,2434,90.3,89.98,6,39,39,-0.29999999999999716,5.89,101,148,118,143,302,331,301,"-0.999","0.999",,,,22,15,1,1,0,2,3,13.6,3,13.6,"2.3","0.47","-0.27","0.22","92.0",145,40,20,13.636363636363635,5.84,1.96,-0.84,2.58,0.364,3,"1.280769231",,,"-1.280769231",,,,,15.4,,,,,,,
75,677944,"Cecconi, Slade",259,29,0,0,0,0,0.05,,,0,13,84.9,1.1,2394,88.7,88.95,16,41,34,0.20000000000000284,6.33,112,150,124,147,299,323,294,"3.586","-3.586",,,,14,9,0,0,0,0,4,28.6,1,7.1,"2.46","0.43","-0.23","-0.11","90.3",125,22.22222222222222,0,0,5.9,-2.14,0.69,2.1,0.071,0,"-4.781333333",,,"4.781333333",,,,,39,,,,,,,
75,668933,"Ashcraft, Graham",128,58.6,0.214,0.143,0.3,0.357,0.324,,,3,14,96.5,12.5,2379,96.7,95.53,8,33,42,-1.2000000000000028,5.36,111,147,119,148,293,323,292,"0.46","-0.46",,,,17,10,1,2,0,0,4,23.5,3,17.6,"1.49","0.93","-0.04","0.01","92.8",128,50,10,5.88235294117647,6.63,-0.16,-0.03,2.68,0.353,1,"-0.613333333",,,"0.613333333",,,,,24.2,,,,,,,
74,682227,"Williamson, Brandon",247,30,0.308,0.231,0.429,0.538,0.409,,,4,13,85.5,36.1,2394,90.2,89.56,9,40,34,-0.6000000000000085,5.7,108,151,116,149,296,320,295,"-0.902","0.902",,,,15,8,3,0,0,1,5,33.3,1,6.7,"2.05","0.73","-0.23","0.07","90.2",138,50,0,0,6.54,1.06,-0.48,2.61,0.4,0,"1.218918919",,,"-1.218918919",,,,,22.5,,,,,,,
