"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
192,661563,"Gil, Luis",356,53.9,0.298,0.298,0.357,0.596,0.41,,,14,47,92.9,22.7,2432,95.5,95.95,22,113,79,0.4000000000000057,6.51,107,151,126,150,286,324,284,"-4.072","4.072",,,,52,32,8,2,0,4,15,28.8,5,9.6,"1.11","1.39","0.3","0.14","91.6",205,50,12.5,7.6923076923076925,5.86,-2.81,0.01,2.86,0.365,4,"2.120833333",,,"-2.120833333",,,,,19.5,,,,,,,
178,671096,"Abbott, Andrew",362,49.2,0.316,0.211,0.393,0.526,0.391,,,12,38,92,12.4,2306,92.6,92.75,15,85,93,0.10000000000000853,6.39,105,150,114,148,298,327,297,"-1.703","1.703",,,,42,29,7,3,1,1,9,21.4,4,9.5,"1.32","1.34","0.56","-0.28","92.5",183,51.724137931034484,13.793103448275861,9.523809523809524,6.09,2.45,0.13,2.57,0.381,4,"0.956741573",,,"-0.956741573",,,,,17.6,,,,,,,
177,592662,"Ray, Robbie",306,57.8,0.172,0.103,0.19,0.276,0.292,,,5,29,87.2,18.7,2330,94.2,93.35,19,80,97,-0.9000000000000057,6,112,147,115,147,306,334,298,"2.136","-2.136",,,,36,22,4,0,0,1,7,19.4,6,16.7,"1.12","1.47","0.64","0.05","90.2",204,27.27272727272727,9.090909090909092,5.555555555555555,6.23,2.51,-0.3,2.79,0.333,2,"-1.206779661",,,"1.206779661",,,,,23.8,,,,,,,
166,701542,"Warren, Will",344,48.3,0.065,0.022,0.094,0.087,0.091,,,3,46,94,11.8,2601,93.9,94.22,30,92,74,0.29999999999999716,6.49,112,149,126,150,290,324,289,"10.064","-10.064",,,,49,32,2,1,0,0,15,30.6,2,4.1,"1.31","1.28","0.59","0.01","93.2",206,59.375,9.375,6.122448979591836,5.51,-3.48,-0.04,2.79,0.102,3,"-6.062650602",,,"6.062650602",,,,,32.6,,,,,,,
163,669194,"Nelson, Ryne",260,62.7,0.19,0.119,0.318,0.31,0.248,,,8,42,93.6,8.8,2354,95.9,96.6,23,83,80,0.6999999999999886,6.62,113,148,121,150,301,329,305,"3.209","-3.209",,,,45,23,5,2,0,1,19,42.2,2,4.4,"0.94","1.53","0.21","0.01","92.0",153,52.17391304347826,13.043478260869565,6.666666666666667,6.35,-1.03,0.18,2.62,0.244,3,"-1.968711656",,,"1.968711656",,,,,27.7,,,,,,,
159,695505,"Burns, Chase",288,55.2,0.29,0.29,0.292,0.581,0.415,,,9,31,89,19.7,2455,97.7,97.64,22,86,73,-0.10000000000000853,6.3,111,149,115,150,294,320,297,"-1.026","1.026",,,,36,26,4,3,0,2,5,13.9,5,13.9,"0.92","1.48","0.36","-0.03","91.0",213,34.61538461538461,19.230769230769234,13.88888888888889,6.69,-1.09,0.19,2.66,0.389,5,"0.645283019",,,"-0.645283019",,,,,25.6,,,,,,,
153,676282,"Cantillo, Joey",333,45.9,0.273,0.182,0.286,0.455,0.312,,,12,44,91,19,1836,91.7,93.37,7,79,74,1.7000000000000028,7.19,112,151,119,147,298,323,301,"1.752","-1.752",,,,44,37,8,2,0,2,7,15.9,0,0,"1.35","1.35","0.51","-0.24","91.9",184,32.432432432432435,13.513513513513514,11.363636363636363,5.94,0.56,-0.25,2.4,0.273,5,"-1.145098039",,,"1.145098039",,,,,8.9,,,,,,,
150,806960,"Morales, Luis",365,41.1,0.406,0.375,0.385,0.781,0.539,,,13,32,96.8,16.9,2427,96.9,96.39,6,61,89,-0.5,6,109,148,118,148,301,327,299,"-6.43","6.43",,,,39,29,7,3,0,3,3,7.7,7,17.9,"1.09","1.34","0.59","0.12","94.8",198,65.38461538461539,19.230769230769234,12.82051282051282,5.78,-1.82,0.05,2.71,0.513,5,"4.286666667",,,"-4.286666667",,,,,9.8,,,,,,,
149,666142,"Ragans, Cole",279,53.4,0.313,0.25,0.45,0.563,0.417,,,10,32,93,23.2,2476,95.6,94.91,29,88,61,-0.6999999999999886,5.92,108,149,118,149,304,318,263,"-0.726","0.726",,,,37,21,4,5,0,1,11,29.7,4,10.8,"1.09","1.41","0.94","-0.28","91.3",232,52.38095238095239,14.285714285714285,8.108108108108109,6.36,1.34,-0.03,2.9,0.405,3,"0.487248322",,,"-0.487248322",,,,,33,,,,,,,
137,690986,"Harrison, Kyle",267,51.3,0.313,0.344,0.333,0.656,0.427,,,10,32,94.6,27.1,2314,94.9,95.06,21,72,65,0.19999999999998863,6.46,111,150,119,148,298,317,292,"-3.069","3.069",,,,34,24,6,0,1,3,8,23.5,1,2.9,"1.34","1.2","1.03","-0.61","93.4",210,62.5,20.833333333333336,14.705882352941178,5.05,1.94,0.11,2.75,0.353,5,"2.240145985",,,"-2.240145985",,,,,29.2,,,,,,,
137,684007,"Imanaga, Shota",299,45.8,0.28,0.32,0.278,0.6,0.393,,,7,25,92.8,30.5,2528,92.5,92.05,17,66,71,-0.5,6.15,108,152,119,149,299,329,305,"-2.771","2.771",,,,30,20,3,2,0,2,6,20,2,6.7,"1.17","1.51","0.85","-0.48","92.6",181,50,15,10,5.46,1.89,-0.08,2.76,0.345,3,"2.022627737",,,"-2.022627737",,,,,25.8,,,,,,,
134,690953,"Abel, Mick",329,40.7,0.219,0.031,0.333,0.25,0.248,,,7,32,87.5,21.8,2478,96.3,97.29,23,85,49,1,6.79,114,147,122,148,282,320,281,"3.072","-3.072",,,,35,21,6,1,0,0,11,31.4,3,8.6,"1.12","1.33","0.59","0.03","90.5",198,28.57142857142857,0,0,5.62,-1.64,0.06,2.82,0.286,0,"-2.292537313",,,"2.292537313",,,,,27.1,,,,,,,
134,605488,"Springs, Jeffrey",279,48,0.154,0.077,0.19,0.231,0.251,,,4,26,87.3,34.7,2172,91.4,91.84,4,51,83,0.3999999999999915,6.54,109,150,119,147,302,324,296,"2.104","-2.104",,,,31,21,2,2,0,0,5,16.1,5,16.1,"1.33","1.4","0.8","-0.43","90.5",214,19.047619047619047,9.523809523809524,6.451612903225806,6,2.13,-0.29,2.88,0.29,2,"-1.570149254",,,"1.570149254",,,,,7.8,,,,,,,
134,625643,"López, Reynaldo",289,46.4,0.278,0.111,0.357,0.389,0.346,,,10,36,93.7,17.7,1983,91.4,91.58,8,57,77,0.19999999999998863,6.46,116,150,127,149,296,322,289,"1.104","-1.104",,,,42,28,7,2,1,0,8,19,6,14.3,"1.32","1.42","0.53","0.15","92.3",199,42.857142857142854,10.714285714285714,7.142857142857142,5.85,-1.68,-0.09,2.26,0.381,3,"-0.823880597",,,"0.823880597",,,,,14,,,,,,,
133,605182,"Clevinger, Mike",288,46.2,0.138,0.241,0.118,0.379,0.274,,,4,29,87,29.8,2369,95.3,95.52,21,62,71,0.20000000000000284,6.59,116,148,120,150,293,316,285,"2.026","-2.026",,,,33,19,1,1,0,2,10,30.3,4,12.1,"1.08","1.45","0.63","-0.2","90.8",188,36.84210526315789,10.526315789473683,6.0606060606060606,5.59,-1.73,-0.13,2.88,0.242,2,"-1.523308271",,,"1.523308271",,,,,33.9,,,,,,,
131,680573,"Woods Richardson, Simeon",326,40.2,0.444,0.167,0.5,0.611,0.482,,,16,36,92.4,9.1,2109,92,92.31,15,73,58,0.29999999999999716,6.59,109,147,119,149,292,319,274,"-3.183","3.183",,,,40,31,12,3,0,1,5,12.5,4,10,"1.21","1.5","0.34","-0.05","93.2",182,54.83870967741935,12.903225806451612,10,6.64,-0.92,0.14,2.63,0.5,4,"2.429770992",,,"-2.429770992",,,,,20.5,,,,,,,
129,671737,"Bradley, Taj",288,44.8,0.241,0.241,0.273,0.483,0.341,,,7,29,92.2,14.8,2305,96.8,96.85,15,69,60,0.10000000000000853,6.37,110,145,117,149,287,320,278,"1.46","-1.46",,,,32,23,3,2,1,1,6,18.8,3,9.4,"0.88","1.56","0.36","-0.1","92.2",204,52.17391304347826,17.391304347826086,12.5,6.26,-1.11,-0.2,2.71,0.313,4,"-1.131782946",,,"1.131782946",,,,,21.7,,,,,,,
126,434378,"Verlander, Justin",257,49,0.429,0.81,0.286,1.238,0.695,,,9,21,94.7,27.9,2372,93.5,92.55,14,60,66,-0.9000000000000057,5.94,121,150,121,150,289,324,292,"-7.567","7.567",,,,26,19,2,2,0,5,2,7.7,4,15.4,"1.15","1.48","0.76","-0.05","92.1",214,57.89473684210527,15.789473684210526,11.538461538461538,7.05,-1.73,0.36,2.33,0.538,3,"6.005555556",,,"-6.005555556",,,,,23.3,,,,,,,
125,680570,"Rodriguez, Grayson",239,52.3,0.222,0.222,0.227,0.444,0.387,,,6,27,95.5,14.9,2167,94.8,96.04,12,63,62,1.2000000000000028,7.13,107,146,111,146,298,318,302,"-2.705","2.705",,,,36,23,2,3,0,1,4,11.1,8,22.2,"1.32","1.23","0.89","-0.05","92.6",191,55.00000000000001,20,11.11111111111111,5.69,-2.6,-0.4,2.58,0.417,4,"2.164",,,"-2.164",,,,,19,,,,,,,
124,687209,"Maxwell, Zach",191,64.9,0.286,0.238,0.417,0.524,0.433,,,6,21,93.6,14.1,2479,97.7,97.47,20,58,66,-0.20000000000000284,6.1,112,148,119,149,301,325,295,"-2.203","2.203",,,,28,13,3,2,0,1,8,28.6,7,25,"1","1.39","0.62","0.05","91.9",233,61.53846153846154,15.384615384615385,7.142857142857142,6.42,-2.41,-0.01,2.7,0.464,2,"1.776612903",,,"-1.776612903",,,,,34.5,,,,,,,
122,607067,"Rea, Colin",339,36,0.36,0.4,0.35,0.76,0.509,,,9,25,90.1,21.9,2149,94.1,94.81,7,52,70,0.7000000000000028,6.74,110,150,115,151,300,333,304,"-2.932","2.932",,,,30,22,4,2,1,2,3,10,5,16.7,"1.41","1.17","0.69","-0.1","92.3",192,45.45454545454545,18.181818181818183,13.333333333333334,5.53,-1.56,0.1,2.47,0.467,4,"2.403278689",,,"-2.403278689",,,,,13.5,,,,,,,
121,676440,"Bibee, Tanner",351,34.5,0.324,0.235,0.36,0.559,0.388,,,11,34,91.9,22.7,2234,94.1,94.89,9,63,58,0.8000000000000114,6.72,117,151,120,149,297,322,291,"-2.217","2.217",,,,35,27,7,2,0,2,7,20,0,0,"1.31","1.26","0.47","0.09","92.7",171,48.148148148148145,11.11111111111111,8.571428571428571,6.52,-1.88,-0.05,3,0.343,3,"1.832231405",,,"-1.832231405",,,,,14.3,,,,,,,
119,696149,"Chandler, Bubba",203,58.6,0.045,0,0.071,0.045,0.216,,,1,22,89.4,23.9,2427,98.4,98.79,20,58,61,0.3999999999999915,6.62,115,149,118,150,291,317,288,"1.426","-1.426",,,,30,14,1,0,0,0,8,26.7,8,26.7,"0.9","1.47","0.42","0.03","90.6",190,35.714285714285715,14.285714285714285,6.666666666666667,5.84,-1.23,0.05,3.09,0.3,2,"-1.198319328",,,"1.198319328",,,,,34.5,,,,,,,
119,676606,"Margevicius, Nick",175,68,0.368,0.184,0.389,0.553,0.393,,,14,38,93.7,14.4,2076,91.5,92.31,7,72,47,0.7999999999999972,6.71,109,149,116,149,303,328,296,"-0.94","0.94",,,,40,36,8,5,1,0,3,7.5,1,2.5,"1.43","1.29","0.37","-0.11","92.8",199,47.22222222222222,11.11111111111111,10,6.13,0.8,0.14,2.55,0.375,4,"0.789915966",,,"-0.789915966",,,,,9.7,,,,,,,
118,656641,"Latz, Jacob",266,44.4,0.207,0.172,0.208,0.379,0.356,,,6,29,90.6,32,2117,93.4,93.61,9,57,61,0.19999999999998863,6.45,108,150,116,149,309,324,303,"-0.937","0.937",,,,38,25,3,2,0,1,4,10.5,9,23.7,"1.2","1.42","0.69","-0.26","92.4",204,40,8,5.263157894736842,6.11,1.64,-0.09,2.7,0.395,2,"0.794067797",,,"-0.794067797",,,,,15.8,,,,,,,
118,663554,"Mize, Casey",337,35,0.435,0.391,0.444,0.826,0.546,,,10,23,87.5,18.1,2226,93.6,94.35,9,60,58,0.7000000000000028,6.87,117,147,118,150,279,319,291,"-4.871","4.871",,,,29,20,5,3,0,2,4,13.8,4,13.8,"1.2","1.41","0.61","-0.28","91.0",183,40,10,6.896551724137931,5.93,-2,0.21,2.71,0.517,2,"4.127966102",,,"-4.127966102",,,,,15,,,,,,,
115,800048,"Messick, Parker",314,36.6,0.241,0.138,0.3,0.379,0.308,,,7,29,89.4,13.3,2118,93,93.23,13,63,52,0.20000000000000284,6.36,110,151,125,148,296,324,301,"-1.269","1.269",,,,32,21,5,1,0,1,8,25,3,9.4,"1.32","1.31","0.43","-0.28","91.9",186,57.14285714285714,14.285714285714285,9.375,5.52,1.1,-0.04,3.11,0.313,3,"1.103478261",,,"-1.103478261",,,,,20.6,,,,,,,
115,669022,"Gore, MacKenzie",251,45.8,0.304,0.087,0.368,0.391,0.375,,,7,23,90.2,2.4,2278,96,96.8,13,60,55,0.7999999999999972,6.78,108,147,118,148,300,316,304,"-0.416","0.416",,,,28,19,5,2,0,0,4,14.3,4,14.3,"1.14","1.34","0.57","-0.14","91.6",170,52.63157894736842,5.263157894736842,3.571428571428571,5.62,1.89,-0.12,2.75,0.429,1,"0.36173913",,,"-0.36173913",,,,,21.7,,,,,,,
112,800311,"Fuentes, Didier",182,61.5,0.077,0,0.133,0.077,0.093,,,2,26,95,8.7,2084,96.8,97.38,18,58,54,0.6000000000000085,6.69,120,150,130,150,303,321,292,"5.435","-5.435",,,,27,15,2,0,0,0,11,40.7,0,0,"1.15","1.29","0.69","-0.01","92.2",164,53.333333333333336,13.333333333333334,7.4074074074074066,5.25,-2.22,-0.07,2.77,0.111,2,"-4.852678571",,,"4.852678571",,,,,31,,,,,,,
112,623433,"Anderson, Nick",178,62.9,0.231,0.269,0.25,0.5,0.349,,,6,26,95.6,21.5,2223,94.4,94.28,16,64,48,-0.10000000000000853,6.16,112,147,118,148,300,323,292,"-0.663","0.663",,,,29,18,3,1,0,2,8,27.6,3,10.3,"1.13","1.43","0.52","-0.05","92.6",223,55.55555555555556,11.11111111111111,6.896551724137931,6.47,-0.68,-0.01,2.97,0.31,2,"0.591964286",,,"-0.591964286",,,,,25,,,,,,,
