"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
91,679358,"Orze, Eric",156,58.3,0.1,0.05,0.167,0.15,0.161,,,2,20,89.5,18.7,1588,83.6,84.42,17,43,48,0.8000000000000114,6.99,116,145,120,147,285,315,286,"2.198","-2.198",,,,22,12,1,1,0,0,8,36.4,2,9.1,3.27495,0.00678,1.16604,-0.12341,"90.2",181,25,8.333333333333332,4.545454545454546,5.82,-1.76,-0.14,1.83,0.182,1,"-2.415384615",,,"2.415384615",,,,,39.5,,,,,,,
86,680573,"Woods Richardson, Simeon",326,26.4,0.185,0.074,0.263,0.259,0.21,,,5,27,83.9,6.7,1095,85.4,86,12,40,46,0.5999999999999943,6.7,113,145,121,148,291,319,277,"0.411","-0.411",,,,28,19,3,2,0,0,8,28.6,1,3.6,2.41698,0.7114,0.84105,-0.21105,"92.8",159,31.57894736842105,0,0,6.57,-1,-0.02,1.37,0.214,0,"-0.477906977",,,"0.477906977",,,,,30,,,,,,,
83,684007,"Imanaga, Shota",299,27.8,0.28,0.24,0.313,0.52,0.341,,,7,25,91.1,15.2,1162,83.8,83.88,28,64,19,0.10000000000000853,6.25,105,153,121,149,301,330,303,"1.074","-1.074",,,,25,18,5,0,0,2,7,28,0,0,2.67916,0.55699,0.74277,-0.64663,"91.8",149,38.88888888888889,16.666666666666664,12,5.49,1.91,0.38,1.9,0.28,3,"-1.293975904",,,"1.293975904",,,,,43.8,,,,,,,
76,663554,"Mize, Casey",337,22.6,0.208,0.125,0.313,0.333,0.249,,,5,24,85.5,5.2,1369,87.7,88.46,17,46,30,0.7999999999999972,6.84,115,147,120,150,283,322,292,"-0.028","0.028",,,,25,16,3,1,1,0,8,32,1,4,2.68408,0.2924,1.13276,-0.46829,"89.6",103,12.5,0,0,5.85,-2.11,-0.31,1.81,0.24,0,"0.036842105",,,"-0.036842105",,,,,37,,,,,,,
76,621139,"Kriske, Brooks",159,47.8,0.059,0,0.091,0.059,0.149,,,1,17,89.2,3.9,1053,82.5,81.64,14,39,37,-0.9000000000000057,5.94,115,149,119,149,289,316,291,"2.874","-2.874",,,,20,11,1,0,0,0,6,30,3,15,3.40395,-0.0268,0.74487,-0.28776,"91.9",92,36.36363636363637,0,0,6.13,-1.24,0.16,1.52,0.2,0,"-3.781578947",,,"3.781578947",,,,,35.9,,,,,,,
73,543135,"Eovaldi, Nathan",257,28.4,0.308,0.308,0.3,0.615,0.401,,,8,26,94.2,5.6,1574,88.2,89.24,7,41,32,1,6.75,113,149,115,150,301,318,303,"-0.959","0.959",,,,27,22,5,0,1,2,4,14.8,1,3.7,2.81356,0.10085,1.02233,-0.04123,"96.2",121,50,9.090909090909092,7.4074074074074066,5.7,-2.33,-0.18,1.87,0.333,2,"1.31369863",,,"-1.31369863",,,,,17.1,,,,,,,
64,669093,"Estrada, Jeremiah",165,38.8,0,0,0,0,0.058,,,0,11,85.6,9,1248,81.6,82.83,16,24,40,1.2000000000000028,7.08,113,147,118,148,293,322,301,"1.472","-1.472",,,,12,2,0,0,0,0,9,75,1,8.3,2.94078,0.48063,0.91906,-0.31,"89.2",149,0,0,0,5.81,-0.6,-0.01,2,0.083,0,"-2.3",,,"2.3",,,,,66.7,,,,,,,
62,696270,"Johnson, Ryan",341,18.2,0.25,0.063,0.364,0.313,0.246,,,4,16,93.8,14.5,1911,85.6,84.51,11,29,33,-1.0999999999999943,5.81,112,147,120,151,294,325,296,"0.298","-0.298",,,,16,11,3,1,0,0,5,31.3,0,0,2.8871,0.24194,1.03935,-0.54161,"92.9",175,45.45454545454545,9.090909090909092,6.25,5.75,-3.22,0.04,1.64,0.25,1,"-0.480645161",,,"0.480645161",,,,,37.9,,,,,,,
58,669387,"Mlodzinski, Carmen",201,28.9,0.067,0,0.125,0.067,0.169,,,1,15,84.3,-5.9,1714,86.5,86.43,11,34,24,-0.09999999999999432,6.27,109,146,115,149,284,313,282,"1.999","-1.999",,,,18,8,1,0,0,0,7,38.9,1,5.6,2.89621,0.15825,0.78362,-0.15914,"90.4",63,37.5,0,0,5.59,-1.39,-0.21,2.01,0.222,0,"-3.446551724",,,"3.446551724",,,,,32.4,,,,,,,
55,592332,"Gausman, Kevin",151,36.4,0.455,0,0.556,0.455,0.436,,,5,11,77.3,8,1704,83.1,83.26,12,29,26,0.20000000000000284,6.48,108,145,122,147,294,325,297,"-2.763","2.763",,,,15,9,5,0,0,0,3,20,3,20,2.93291,0.38055,1.014,-0.11655,"89.8",114,22.22222222222222,0,0,5.87,-2.63,-0.3,1.56,0.533,0,"5.023636364",,,"-5.023636364",,,,,41.4,,,,,,,
