"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
116,608566,"Márquez, Germán",288,40.3,0.13,0,0.25,0.13,0.196,,,3,23,89.1,19.4,2538,85.5,83.51,32,61,55,-2,5.08,115,149,123,149,301,328,298,"2.844","-2.844",,,,28,12,3,0,0,0,12,42.9,3,10.7,"3.12","0.02","-0.1","-0.05","90.9",119,41.66666666666667,0,0,6.36,-1.13,0.33,1.94,0.25,0,"-2.451724138",,,"2.451724138",,,,,52.5,,,,,,,
83,676962,"Brown, Ben",216,38.4,0.29,0.065,0.5,0.355,0.308,,,9,31,89.6,13.7,2295,87.4,87.72,21,47,36,0.29999999999999716,6.35,112,149,119,150,296,328,301,"0.385","-0.385",,,,33,18,7,2,0,0,13,39.4,2,6.1,"3.27","-0.3","-0.21","0.05","92.9",143,44.44444444444444,5.555555555555555,3.0303030303030303,6.47,-1.5,0.14,1.7,0.333,1,"-0.463855422",,,"0.463855422",,,,,44.7,,,,,,,
75,607192,"Glasnow, Tyler",259,29,0.136,0.045,0.5,0.182,0.138,,,3,22,88.6,15.3,2791,80.7,81.76,21,37,38,1.0999999999999943,7.26,109,151,120,149,300,328,299,"2.652","-2.652",,,,22,6,2,1,0,0,16,72.7,0,0,"4.79","-1.26","-0.61","-0.29","92.4",106,66.66666666666666,0,0,6.29,-1.2,0.51,1.43,0.136,0,"-3.536",,,"3.536",,,,,56.8,,,,,,,
53,680732,"Burke, Sean",269,19.7,0.5,0.875,0.75,1.375,0.748,,,4,8,97.3,25.4,2488,79.1,79.58,4,17,36,0.5,6.74,114,147,115,149,297,325,301,"-3.982","3.982",,,,11,5,1,0,2,1,3,27.3,3,27.3,"4.75","-1.08","-0.42","0.19","93.4",193,40,40,18.181818181818183,6.3,-2.19,0.24,2.31,0.636,2,"7.513207547",,,"-7.513207547",,,,,23.5,,,,,,,
47,669358,"Baz, Shane",161,29.2,0,0,0,0,0.1,,,0,12,100.2,13,2660,85.6,85.6,12,25,22,0,6.39,112,143,124,149,285,314,296,"1.245","-1.245",,,,14,4,0,0,0,0,8,57.1,2,14.3,"3.99","-0.86","-0.55","0.43","95.2",187,50,25,7.142857142857142,5.92,-1.31,0.33,1.46,0.143,1,"-2.64893617",,,"2.64893617",,,,,48,,,,,,,
47,676917,"Cavalli, Cade",186,25.3,0,0,0,0,0.238,,,0,4,84,-8,2259,84.6,84.39,2,9,38,-0.19999999999998863,6.39,114,148,117,151,291,329,301,"0.023","-0.023",,,,6,4,0,0,0,0,0,0,1,16.7,"4.2","-0.98","-0.62","0.13","90.7",86,25,0,0,6.12,-2.77,0.27,1.97,0.333,0,"-0.04893617",,,"0.04893617",,,,,22.2,,,,,,,
44,686613,"Brown, Hunter",216,20.4,0,0,0,0,0.107,,,0,11,79.4,1.8,2539,83.6,83.77,5,12,32,0.20000000000000284,6.63,117,148,119,152,284,318,295,"1.232","-1.232",,,,13,6,0,0,0,0,5,38.5,2,15.4,"4.6","-1.31","-0.38","0.25","89.2",121,0,0,0,6.16,-1.91,-0.09,2,0.154,0,"-2.8",,,"2.8",,,,,41.7,,,,,,,
43,656730,"Megill, Trevor",95,45.3,0,0,0,0,0,,,0,11,94.6,7.3,2668,86.5,86.9,14,21,22,0.4000000000000057,6.44,111,150,126,149,298,320,296,"0.537","-0.537",,,,11,3,0,0,0,0,8,72.7,0,0,"3.35","-0.32","-0.11","-0.04","90.9",104,33.33333333333333,0,0,6.64,-0.07,0.38,1.31,0,0,"-1.248837209",,,"1.248837209",,,,,66.7,,,,,,,
40,667755,"Soriano, José",207,19.3,0.2,0.2,0.5,0.4,0.423,,,1,5,54.7,-71,2427,86.2,86.52,8,15,25,0.29999999999999716,6.73,108,146,114,145,306,328,302,"-1.196","1.196",,,,8,2,0,1,0,0,3,37.5,2,25,"3.66","-0.59","-0.87","-0.39","88.8",41,0,0,0,6.2,-1.78,0.73,1.92,0.5,0,"2.99",,,"-2.99",,,,,53.3,,,,,,,
39,668678,"Gallen, Zac",185,21.1,0.286,0.429,0.25,0.714,0.42,,,2,7,86.5,27.6,2403,82.3,82.53,3,13,26,0.20000000000000284,6.39,115,149,117,150,311,327,307,"-0.88","0.88",,,,7,5,1,0,0,1,2,28.6,0,0,"4.1","-0.74","-0.19","-0.01","90.3",124,20,20,14.285714285714285,6.01,-2.75,0.15,1.57,0.286,1,"2.256410256",,,"-2.256410256",,,,,23.1,,,,,,,
37,621111,"Buehler, Walker",271,13.7,0.5,0.625,1,1.125,0.678,,,4,8,78.5,10.3,2540,75.8,75.73,6,15,22,-0.09999999999999432,6.46,117,148,121,151,295,323,299,"-2.506","2.506",,,,8,4,2,0,1,1,4,50,0,0,"5.12","-1.11","-1.05","0.47","88.7",125,0,0,0,5.83,-0.89,-0.23,2.02,0.5,0,"6.772972973",,,"-6.772972973",,,,,40,,,,,,,
30,605400,"Nola, Aaron",110,27.3,0.286,0,0.5,0.286,0.31,,,2,7,91,16,2550,77.6,77.58,6,13,17,0,6.51,108,149,122,147,297,314,285,"0.177","-0.177",,,,8,4,2,0,0,0,3,37.5,1,12.5,"4.67","-0.85","-1.21","-0.09","94.4",124,50,0,0,5.1,-1.71,0.26,1.74,0.375,0,"-0.59",,,"0.59",,,,,46.2,,,,,,,
29,607536,"Freeland, Kyle",140,20.7,0,0,0,0,0.116,,,0,5,89.1,8.3,2337,82.7,83.1,4,12,17,0.3999999999999915,6.47,114,151,116,146,299,319,246,"0.802","-0.802",,,,6,3,0,0,0,0,2,33.3,1,16.7,"3.81","-0.49","-0.01","0.02","93.5",79,33.33333333333333,0,0,5.86,2.66,0.19,2.11,0.167,0,"-2.765517241",,,"2.765517241",,,,,33.3,,,,,,,
28,669467,"Pallante, Andre",203,13.8,0.4,0,0.5,0.4,0.413,,,2,5,83.7,9.5,2657,77.2,77.6,1,9,19,0.3999999999999915,6.46,114,147,113,147,283,320,292,"-1.737","1.737",,,,6,4,2,0,0,0,1,16.7,1,16.7,"5.03","-1.22","-0.24","0.07","90.0",140,25,0,0,6.07,-1.44,0.3,1.49,0.5,0,"6.203571429",,,"-6.203571429",,,,,11.1,,,,,,,
28,656427,"Flaherty, Jack",199,14.1,0.25,0.5,0.333,0.75,0.414,,,2,8,83.5,-6.5,2381,78.2,78.33,6,14,14,0.09999999999999432,6.51,117,147,123,146,291,324,295,"-0.74","0.74",,,,8,4,0,1,0,1,4,50,0,0,"4.5","-0.75","-0.97","-0.24","93.8",99,50,50,25,5.38,-2.57,0.38,1.61,0.25,2,"2.642857143",,,"-2.642857143",,,,,42.9,,,,,,,
26,663893,"Little, Brendon",100,26,0.125,0,0.5,0.125,0.176,,,1,8,70.6,-21,2323,87.6,87.07,10,14,12,-0.5,5.99,103,150,122,146,299,322,288,"0.852","-0.852",,,,9,2,1,0,0,0,6,66.7,1,11.1,"4","-1.02","-0.39","0.26","92.3",69,50,0,0,6.36,1.76,-0.39,1.25,0.222,0,"-3.276923077",,,"3.276923077",,,,,71.4,,,,,,,
25,686973,"Varland, Louis",80,31.3,0.143,0.429,0,0.571,0.293,,,1,7,84.2,-1,2442,86.8,87.63,5,12,13,0.7999999999999972,6.78,119,151,130,147,303,325,296,"-0.466","0.466",,,,7,5,0,0,0,1,2,28.6,0,0,"3.58","-0.56","-0.39","-0.03","92.0",123,20,20,14.285714285714285,5.59,-2.88,-0.17,1.75,0.143,1,"1.864",,,"-1.864",,,,,41.7,,,,,,,
22,666142,"Ragans, Cole",279,7.9,1,0.5,1,1.5,1.076,,,2,2,103.2,13,2395,78.1,77.08,0,3,19,-1,5.78,110,150,113,149,304,311,266,"-0.884","0.884",,,,2,2,1,1,0,0,0,0,0,0,"4.89","-1.12","-0.85","0.39","98.1",163,100,0,0,6.35,1.46,-0.11,2.51,1,0,"4.018181818",,,"-4.018181818",,,,,0,,,,,,,
21,657746,"Ryan, Joe",175,12,0.3,0.1,0.5,0.4,0.34,,,3,10,86.9,19.2,2644,77.5,77.27,3,13,8,-0.20000000000000284,6.3,124,147,125,153,288,323,289,"-0.268","0.268",,,,11,6,2,1,0,0,4,36.4,1,9.1,"4.65","-0.82","-1.22","0.45","92.7",152,33.33333333333333,0,0,5.18,-2.41,0.22,1.9,0.364,0,"1.276190476",,,"-1.276190476",,,,,23.1,,,,,,,
21,519141,"Pomeranz, Drew",92,22.8,0.25,0,0.333,0.25,0.222,,,1,4,92.2,-2.3,2202,83.4,82.4,3,7,14,-1,5.62,105,149,116,147,305,321,301,"-0.388","0.388",,,,4,3,1,0,0,0,1,25,0,0,"4","-0.72","-0.31","0.15","92.4",117,66.66666666666666,0,0,6.23,2.07,-0.57,1.73,0.25,0,"1.847619048",,,"-1.847619048",,,,,42.9,,,,,,,
20,669923,"Kirby, George",233,8.6,0.5,0.5,0.5,1,0.631,,,1,2,102.7,3,2349,83,83.15,0,4,16,0.09999999999999432,6.49,115,146,117,149,299,321,306,"-0.411","0.411",,,,2,2,0,1,0,0,0,0,0,0,"4.33","-1","-0.74","0.35","95.4",91,100,0,0,5.88,-1.61,-0.09,1.68,0.5,0,"2.055",,,"-2.055",,,,,0,,,,,,,
18,592662,"Ray, Robbie",306,5.9,0,0,0,0,0.174,,,0,3,108.6,22,2136,81.1,80.23,3,4,14,-0.8999999999999915,5.8,116,153,123,149,309,337,295,"-0.003","0.003",,,,4,1,0,0,0,0,2,50,1,25,"3.89","-0.41","-0.07","0","108.6",421,100,100,25,6.2,2.76,-0.51,1.51,0.25,1,"0.016666667",,,"-0.016666667",,,,,75,,,,,,,
18,518886,"Kimbrel, Craig",106,17,0.2,0.2,0.25,0.4,0.252,,,1,5,74,-9.5,2610,82,81.93,1,6,12,-0.09999999999999432,6.38,111,148,115,147,287,316,280,"0.383","-0.383",,,,5,4,0,1,0,0,1,20,0,0,"4.12","-0.71","-1.18","-0.46","90.6",106,25,0,0,5.06,-2.99,0.44,1.64,0.2,0,"-2.127777778",,,"2.127777778",,,,,16.7,,,,,,,
17,656302,"Cease, Dylan",170,10,,,,,,,,,,,,2655,81.2,81.15,0,0,17,-0.10000000000000853,6.29,110,147,117,150,294,324,295,"-0.367","0.367",,,,,,,,,,,,,,"4.68","-1.21","-0.29","0.13",,,,,,6.26,-1.64,-0.23,2.46,,,"2.158823529",,,"-2.158823529",,,,,,,,,,,,
