"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
152,663903,"Singer, Brady",292,52.1,0.258,0.129,0.333,0.387,0.336,,,8,31,89.2,5.9,2270,91.6,92.5,5,62,90,0.9000000000000057,6.82,112,148,111,148,289,320,290,"0.723","-0.723",,,,36,24,4,4,0,0,7,19.4,5,13.9,"1.97","0.75","1.27","0.16","91.1",163,41.66666666666667,4.166666666666666,2.7777777777777777,5.29,-1.29,0.01,2.56,0.361,1,"-0.475657895",,,"0.475657895",,,,,8.1,,,,,,,
124,650633,"King, Michael",338,36.7,0.333,0.222,0.35,0.556,0.393,,,9,27,93.7,-1.4,2313,92.8,91.64,6,48,76,-1.2000000000000028,5.83,111,149,121,148,294,322,293,"-2.78","2.78",,,,28,22,7,0,0,2,5,17.9,1,3.6,"2.28","0.39","1.33","0.16","94.0",103,54.54545454545454,9.090909090909092,7.142857142857142,5.45,-2.91,0.08,2.47,0.357,2,"2.241935484",,,"-2.241935484",,,,,12.5,,,,,,,
121,605135,"Bassitt, Chris",285,42.5,0.214,0.107,0.25,0.321,0.276,,,6,28,86.9,-2.5,2080,91,91.11,2,50,71,0.09999999999999432,6.33,112,149,121,147,280,312,287,"2.61","-2.61",,,,31,24,3,3,0,0,4,12.9,2,6.5,"2.19","0.56","1.36","0.25","92.6",120,41.66666666666667,8.333333333333332,6.451612903225806,5.47,-1.66,0,2.29,0.29,2,"-2.157024793",,,"2.157024793",,,,,4,,,,,,,
117,669372,"Ginn, J.T.",268,43.7,0.36,0.08,0.529,0.44,0.419,,,9,25,94.6,-1.2,1921,93.9,94.39,5,48,69,0.5,6.61,106,149,117,146,300,322,292,"-1.483","1.483",,,,31,17,7,2,0,0,8,25.8,4,12.9,"2.23","0.37","1.2","0.41","93.4",105,58.82352941176471,5.88235294117647,3.225806451612903,5.57,-1.19,-0.15,2.31,0.484,1,"1.267521368",,,"-1.267521368",,,,,10.4,,,,,,,
115,682825,"Mey, Luis",175,65.7,0.393,0.25,0.455,0.643,0.482,,,11,28,93.9,0.3,2202,97.4,97.94,6,51,64,0.5,6.64,107,146,116,145,299,326,298,"-3.086","3.086",,,,33,23,6,4,0,1,5,15.2,5,15.2,"1.92","0.49","1.14","0.19","94.4",136,52.17391304347826,8.695652173913043,6.0606060606060606,5.72,-2.15,0.05,2.13,0.485,2,"2.683478261",,,"-2.683478261",,,,,11.8,,,,,,,
109,664285,"Valdez, Framber",236,46.2,0.242,0.061,0.25,0.303,0.252,,,8,33,92.2,2.2,2116,93.9,92.47,10,56,53,-1.4000000000000057,5.58,111,148,113,145,290,323,284,"2.713","-2.713",,,,34,32,6,2,0,0,1,2.9,1,2.9,"2.12","0.48","1.22","-0.21","93.9",127,56.25,3.125,2.941176470588235,6.17,0.87,0.03,2.39,0.265,1,"-2.488990826",,,"2.488990826",,,,,17.9,,,,,,,
106,694738,"Roupp, Landen",243,43.6,0.235,0.118,0.308,0.353,0.352,,,4,17,90.5,19.2,2024,93.8,93.82,7,35,71,0,6.21,108,149,115,147,303,329,300,"0.922","-0.922",,,,22,13,3,0,1,0,4,18.2,5,22.7,"2.31","0.27","1.38","0.37","92.1",193,53.84615384615385,7.6923076923076925,4.545454545454546,5.22,-1.77,-0.17,2.58,0.409,1,"-0.869811321",,,"0.869811321",,,,,20,,,,,,,
105,686790,"McDonald, Trevor",182,57.7,0.276,0.276,0.273,0.552,0.395,,,8,29,89.7,-8.6,2268,94.2,94.64,8,53,52,0.3999999999999915,6.62,110,151,117,150,314,334,297,"0.118","-0.118",,,,33,24,4,2,0,2,5,15.2,2,6.1,"2.44","0.13","1.26","0.19","91.5",95,29.166666666666668,12.5,9.090909090909092,5.29,-2.05,-0.07,2.2,0.364,3,"-0.112380952",,,"0.112380952",,,,,15.1,,,,,,,
104,666157,"Lodolo, Nick",246,42.3,0.31,0.138,0.4,0.448,0.363,,,9,29,91.8,1.5,2318,94,93.38,7,46,58,-0.5999999999999943,6.04,112,149,114,149,289,327,295,"0.286","-0.286",,,,32,21,7,1,0,1,8,25,3,9.4,"2.2","0.39","1.48","0.33","93.0",158,52.38095238095239,4.761904761904762,3.125,5.41,3.8,-0.11,2.29,0.375,1,"-0.275",,,"0.275",,,,,15.2,,,,,,,
102,664141,"Brubaker, JT",185,55.1,0.188,0.25,0.143,0.438,0.395,,,3,16,92.8,10.9,2210,93.2,92.05,3,38,64,-1.2000000000000028,5.61,110,150,120,149,302,331,303,"-1.783","1.783",,,,23,15,1,1,0,1,1,4.3,7,30.4,"1.82","0.8","1.27","0.27","92.8",151,46.666666666666664,6.666666666666667,4.3478260869565215,6.37,-2.35,0.06,2.77,0.435,1,"1.748039216",,,"-1.748039216",,,,,7.9,,,,,,,
