"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
67,683352,"Bratt, Mitch",137,48.9,0.2,0.3,0.167,0.5,0.385,,,2,10,88.7,13.3,2308,84.4,83.96,6,26,41,-0.4000000000000057,5.97,113,149,119,147,300,322,301,"-0.714","0.714",,,13,7,1,0,0,1,3,23.1,3,23.1,2.84418,0.385,-0.42328,0.10478,"93.2",131,28.57142857142857,14.285714285714285,7.6923076923076925,5.52,2.63,-0.01,2.52,0.385,1,"1.065671642",,,"-1.065671642",,,,,23.1,,,,,,,
57,687570,"Prielipp, Connor",122,46.7,0.231,0.308,0.25,0.538,0.409,,,3,13,96.8,11.6,2895,89.8,88.52,8,22,35,-1.2999999999999972,5.58,105,147,124,149,283,313,280,"-0.853","0.853",,,17,9,1,1,0,1,4,23.5,4,23.5,2.67684,0.16333,-0.08875,0.00196,"96.1",173,77.77777777777779,0,0,6.18,1.33,0.13,2.21,0.412,0,"1.496491228",,,"-1.496491228",,,,,36.4,,,,,,,
55,701552,"Granillo, Andre",86,64,0.167,0,0.222,0.167,0.229,,,2,12,72.9,21,2348,81.7,81.08,7,22,33,-0.6000000000000085,5.72,109,148,119,147,295,321,296,"0.3","-0.3",,,14,9,2,0,0,0,3,21.4,1,7.1,3.12745,0.27291,-0.23218,-0.12418,"88.2",147,0,0,0,6.4,-1.19,0.12,2.01,0.286,0,"-0.545454545",,,"0.545454545",,,,,31.8,,,,,,,
53,519242,"Sale, Chris",132,40.2,0.308,0.231,0.5,0.538,0.381,,,4,13,87,5.3,2470,77.8,78.02,7,18,35,0.20000000000000284,6.48,116,147,120,145,310,321,292,"-2.118","2.118",,,16,7,3,0,0,1,7,43.8,2,12.5,4.09302,-0.31981,-0.9966,0.26642,"93.0",164,42.857142857142854,14.285714285714285,6.25,4.93,3.05,-0.14,1.76,0.375,1,"3.996226415",,,"-3.996226415",,,,,38.9,,,,,,,
53,689546,"Davila, Nick",68,77.9,0.25,0.25,0.286,0.5,0.346,,,3,12,89.8,-11.9,2182,87,86.56,4,18,35,-0.4000000000000057,5.98,112,150,121,148,288,318,297,"-1.348","1.348",,,13,8,2,0,0,1,4,30.8,1,7.7,3.61943,-0.60887,-0.17472,-0.04226,"93.1",88,37.5,12.5,7.6923076923076925,6.05,-1.44,-0.01,2.17,0.308,1,"2.543396226",,,"-2.543396226",,,,,22.2,,,,,,,
47,660623,"Ynoa, Huascar",97,48.5,0.214,0.143,0.273,0.357,0.243,,,3,14,84.7,17.7,2360,83.7,83.09,6,26,21,-0.6000000000000085,5.75,110,148,116,147,285,318,296,"0.342","-0.342",,,14,11,1,2,0,0,3,21.4,0,0,3.39638,-0.1566,-0.14174,0.10391,"91.5",137,18.181818181818183,9.090909090909092,7.142857142857142,5.65,-2.19,0.09,2.05,0.214,1,"-0.727659574",,,"0.727659574",,,,,23.1,,,,,,,
45,670090,"Mills, Wyatt",86,52.3,0.25,0,0.4,0.25,0.32,,,2,8,84.7,35.8,2396,79.1,79.68,9,15,30,0.6000000000000085,6.88,113,149,122,149,294,327,294,"0.214","-0.214",,,10,5,2,0,0,0,3,30,2,20,3.16289,0.52289,-0.74356,-0.14311,"90.8",118,20,20,10,3.56,-3.42,0.14,2.09,0.4,1,"-0.475555556",,,"0.475555556",,,,,60,,,,,,,
45,687985,"White, Josh",76,59.2,0.214,0.071,0.375,0.286,0.25,,,3,14,87.3,5.8,1985,86.1,86.13,11,24,21,0,6.2,112,147,121,148,280,307,276,"0.331","-0.331",,,15,8,2,1,0,0,6,40,1,6.7,3.15333,-0.08711,-0.18356,0.00933,"92.5",106,37.5,0,0,6.41,-0.62,0.16,1.62,0.267,0,"-0.735555556",,,"0.735555556",,,,,45.8,,,,,,,
45,683742,"Franco, Jose",118,38.1,0.25,0,0.667,0.25,0.278,,,2,8,90.8,6.7,2584,85.9,86.36,12,26,19,0.5,6.17,108,146,118,150,293,331,301,"-0.474","0.474",,,9,3,2,0,0,0,5,55.6,0,0,3.01244,0.03256,-0.37022,0.05556,"89.9",156,66.66666666666666,0,0,6.06,-0.99,0.51,1.8,0.333,0,"1.053333333",,,"-1.053333333",,,,,46.2,,,,,,,
45,672282,"Detmers, Reid",162,27.8,0.286,0,0.333,0.286,0.313,,,2,7,93,0.5,2334,86.8,86.82,6,21,24,0,6.27,103,147,116,147,293,323,299,"0.289","-0.289",,,8,6,2,0,0,0,1,12.5,1,12.5,3.198,-0.17511,-0.20111,0.00644,"91.3",98,66.66666666666666,0,0,6.21,1.62,-0.48,2.05,0.375,0,"-0.642222222",,,"0.642222222",,,,,28.6,,,,,,,
42,811310,"Belgrave, Nigel",118,35.6,0.167,0,0.2,0.167,0.333,,,1,6,95.3,18.8,2669,87.9,87.71,5,18,24,-0.20000000000000284,6.21,111,149,118,146,288,306,291,"-0.938","0.938",,,9,5,1,0,0,0,1,11.1,2,22.2,2.46048,0.48805,-0.38238,-0.14048,"91.0",197,50,0,0,5.69,-3.27,-0.21,2.45,0.444,0,"2.233333333",,,"-2.233333333",,,,,27.8,,,,,,,
41,671212,"Boyle, Joe",143,28.7,0,0,0,0,0,,,0,6,85.7,24,2660,91.1,91.78,6,19,22,0.7000000000000028,6.5,108,148,118,149,312,317,291,"1.243","-1.243",,,6,4,0,0,0,0,2,33.3,0,0,2.50585,0.2295,-0.39659,0.01659,"91.2",172,25,0,0,5.73,-1.29,0.29,1.93,0,0,"-3.031707317",,,"3.031707317",,,,,31.6,,,,,,,
40,691947,"Kopp, Ronan",78,51.3,0.167,0,0.222,0.167,0.192,,,2,12,81.6,-10.1,2428,90,89.24,5,16,24,-0.7999999999999972,5.68,114,151,119,149,300,326,290,"0.241","-0.241",,,13,9,2,0,0,0,3,23.1,1,7.7,2.3765,0.425,-0.34875,0.07225,"89.5",133,12.5,0,0,6.75,2.07,0.29,1.99,0.231,0,"-0.6025",,,"0.6025",,,,,31.3,,,,,,,
39,663321,"Hernandez, Nick",74,52.7,0.5,1,0.333,1.5,0.658,,,2,4,93,31.5,2232,80.9,80.79,4,14,25,-0.10000000000000853,6.16,106,150,118,149,294,316,290,"-1.676","1.676",,,6,4,0,1,0,1,1,16.7,1,16.7,3.35897,0.11462,-0.22667,-0.03744,"94.2",223,50,25,16.666666666666664,5.96,-3.04,-0.01,2.23,0.5,1,"4.297435897",,,"-4.297435897",,,,,28.6,,,,,,,
38,607179,"Weems, Jordan",78,48.7,0.375,0.5,0.333,0.875,0.555,,,3,8,86.4,20.6,2123,86.6,87.01,5,16,22,0.4000000000000057,6.42,106,151,115,147,298,324,291,"-1.287","1.287",,,10,7,1,1,0,1,1,10,2,20,2.80395,0.22158,-0.35316,-0.15895,"93.0",170,42.857142857142854,14.285714285714285,10,6.11,-1.99,0.35,1.95,0.5,1,"3.386842105",,,"-3.386842105",,,,,31.3,,,,,,,
38,696149,"Chandler, Bubba",137,27.7,0.143,0,0.333,0.143,0.2,,,1,7,88.1,42.7,2497,89.4,90.32,6,14,24,0.8999999999999915,6.64,111,149,119,149,289,318,295,"0.925","-0.925",,,8,3,1,0,0,0,4,50,1,12.5,2.80474,0.02784,-0.11158,-0.02737,"92.1",140,33.33333333333333,0,0,5.72,-1.44,0.13,2,0.25,0,"-2.434210526",,,"2.434210526",,,,,42.9,,,,,,,
38,802408,"Mautz, Brycen",148,25.7,0,0,0,0,0.2,,,0,5,60.7,17.5,2322,83.5,83.4,11,23,15,-0.09999999999999432,6.09,107,147,115,148,285,316,276,"0.327","-0.327",,,7,2,0,0,0,0,3,42.9,2,28.6,3.15974,0.09757,-0.03895,-0.06474,"88.0",86,0,0,0,5.33,2.95,-0.13,1.89,0.286,0,"-0.860526316",,,"0.860526316",,,,,47.8,,,,,,,
37,820862,"Fermin, José",76,48.7,0,0,0,0,0.1,,,0,6,86.7,18.5,2449,88.3,88.04,10,20,17,-0.29999999999999716,6.04,108,145,113,145,299,331,302,"1.254","-1.254",,,7,2,0,0,0,0,4,57.1,1,14.3,2.73757,0.17784,0.05618,0.02735,"88.0",51,0,0,0,6.39,-1.98,-0.03,1.7,0.143,0,"-3.389189189",,,"3.389189189",,,,,50,,,,,,,
