"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
97,677960,"Weathers, Ryan",330,29.4,0.158,0.211,0.286,0.368,0.289,,,3,19,92.3,11.9,2660,84.7,83.86,19,39,58,-0.7999999999999972,5.82,108,147,123,149,294,323,287,"1.1","-1.1",,,,22,8,1,1,0,1,11,50,1,4.5,"3.1","0.09","-0.93","0.03","91.5",142,37.5,12.5,4.545454545454546,5.41,3.03,-0.62,1.75,0.273,1,"-1.134020619",,,"1.134020619",,,,,48.7,,,,,,,
95,806960,"Morales, Luis",365,26,0.167,0.056,0.375,0.222,0.244,,,3,18,93.8,17.5,2936,81.1,80.38,17,32,63,-0.6999999999999886,5.96,109,146,116,147,300,325,295,"0.168","-0.168",,,,21,8,2,1,0,0,10,47.6,3,14.3,"3.89","-0.4","-1.43","-0.47","93.0",164,25,0,0,5.78,-1.87,0.27,1.85,0.286,0,"-0.176842105",,,"0.176842105",,,,,53.1,,,,,,,
82,666200,"Luzardo, Jesús",270,30.4,0.143,0.143,0.5,0.286,0.177,,,2,14,75.3,4,2328,85.3,83.81,14,27,55,-1.5,5.32,109,146,119,146,279,303,278,"1.237","-1.237",,,,14,4,1,0,1,0,10,71.4,0,0,"3.03","0.11","-0.72","0.19","90.6",153,0,0,0,5.69,2.58,-0.17,1.89,0.143,0,"-1.508536585",,,"1.508536585",,,,,51.9,,,,,,,
80,683175,"Phillips, Connor",182,44,0.2,0.3,0.25,0.5,0.277,,,4,20,92.2,23.1,2382,85.4,84.99,17,39,41,-0.4000000000000057,5.87,113,149,118,147,295,325,298,"0.205","-0.205",,,,21,13,0,3,0,1,8,38.1,0,0,"3.16","-0.05","-1.31","-0.35","92.6",185,46.15384615384615,15.384615384615385,9.523809523809524,5.79,-1.8,0.32,1.66,0.19,2,"-0.25625",,,"0.25625",,,,,43.6,,,,,,,
79,701542,"Warren, Will",344,23,0.286,0.286,0.25,0.571,0.363,,,4,14,91.7,11.6,2993,84.3,84.04,10,34,45,-0.29999999999999716,6.32,113,150,124,151,291,325,288,"-0.025","0.025",,,,14,13,2,1,0,1,1,7.1,0,0,"3.1","0.13","-1.44","-0.24","91.9",159,38.46153846153847,15.384615384615385,14.285714285714285,5.67,-3.52,0.29,1.86,0.286,2,"0.03164557",,,"-0.03164557",,,,,29.4,,,,,,,
76,650633,"King, Michael",338,22.5,0.357,0.214,0.4,0.571,0.413,,,5,14,92.5,22.4,2815,81.2,80.36,11,32,44,-0.7999999999999972,5.86,113,150,123,149,298,324,294,"-2.718","2.718",,,,17,11,4,0,0,1,4,23.5,1,5.9,"3.51","-0.03","-1.2","-0.5","92.8",183,45.45454545454545,9.090909090909092,5.88235294117647,5.59,-2.82,0.19,1.94,0.412,1,"3.576315789",,,"-3.576315789",,,,,34.4,,,,,,,
71,668909,"Williams, Gavin",282,25.2,0.222,0.333,0.333,0.556,0.326,,,4,18,89.8,27.1,2281,86.1,86.85,23,35,36,0.8000000000000114,6.73,111,151,123,145,301,325,290,"-3.59","3.59",,,,18,8,2,0,0,2,10,55.6,0,0,"3.01","0.07","-0.81","-0.67","91.8",171,37.5,12.5,5.555555555555555,5.81,-3.09,0.81,1.73,0.222,1,"5.056338028",,,"-5.056338028",,,,,65.7,,,,,,,
68,656234,"Bird, Jake",167,40.7,0.158,0.053,0.333,0.211,0.187,,,3,19,82.5,-1.9,2798,83.9,82.9,13,35,33,-1,5.76,107,147,123,146,294,318,283,"2.112","-2.112",,,,20,9,2,1,0,0,10,50,1,5,"2.81","0.45","-1.34","-0.95","89.6",127,33.33333333333333,0,0,5.11,-3.15,0.26,2.25,0.2,0,"-3.105882353",,,"3.105882353",,,,,37.1,,,,,,,
68,671096,"Abbott, Andrew",362,18.8,0.294,0.353,0.375,0.647,0.39,,,5,17,93.1,34.2,2816,81.7,81.63,11,27,41,-0.10000000000000853,6.37,109,150,116,149,295,325,297,"-3.409","3.409",,,,21,10,3,0,0,2,9,42.9,1,4.8,"3.58","-0.15","-1.15","0.21","94.3",214,50,20,9.523809523809524,6.12,2.49,-0.59,1.23,0.333,2,"5.013235294",,,"-5.013235294",,,,,40.7,,,,,,,
67,696270,"Johnson, Ryan",341,19.6,0.167,0.083,0.25,0.25,0.179,,,2,12,77.5,15.5,2434,78.6,78.17,7,24,43,-0.3999999999999915,6.01,109,149,118,149,300,323,294,"0.241","-0.241",,,,12,8,1,1,0,0,4,33.3,0,0,"3.39","0.3","-0.98","-0.3","88.9",125,0,0,0,5.91,-2.96,0.61,2.2,0.167,0,"-0.359701493",,,"0.359701493",,,,,29.2,,,,,,,
