"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1084,650911,"Sánchez, Cristopher",2897,37.4,0.17,0.072,0.289,0.243,0.199,0.203,0.183,52,305,84.4,2.6,2043,86.3,87.19,269,596,488,0.9000000000000057,7.04,105,149,117,146,300,320,286,"18.204","-18.204","70.7","8.0",318,175,34,16,0,2,130,40.9,9,2.8,3.17372,-0.09247,1.40941,-1.18054,"90.9",85,26.011560693641616,1.7341040462427744,0.9433962264150944,5.87,2.06,0.27,1.67,0.204,3,"-1.679335793",0.216,0.235,"1.679335793",-0.013,-0.01200000000000001,0.008,-0.004,45.1,"27.9",16.84654089711513,-14.478478407700498,33.447612012963134,0.5457685664939551,40.543728843817235,38.59770296876389
985,543294,"Hendricks, Kyle",2583,38.1,0.223,0.141,0.244,0.364,0.263,0.269,0.227,63,283,83.8,17.3,2077,79.5,78.34,138,544,441,-1.2000000000000028,5.5,109,147,118,149,304,327,300,"6.1","-6.1","70.5","7.9",297,233,42,10,3,8,53,17.8,11,3.7,2.90114,0.7112,0.90602,-0.45346,"90.4",154,26.609442060085836,6.437768240343347,5.05050505050505,6.14,-2.61,-0.07,1.96,0.249,15,"-0.61928934",0.257,0.363,"0.61928934",-0.004,-0.008000000000000007,0.001,-0.006,25.4,"43.7",15.530264994736056,-9.92613069510923,32.084901361232205,0.5473484848484849,43.500135406448116,37.61485415861556
894,669373,"Skubal, Tarik",2849,31.4,0.154,0.073,0.252,0.227,0.171,0.188,0.166,40,260,83.1,8.5,1837,88,88.11,252,537,357,0.09999999999999432,6.44,109,151,117,148,304,328,292,"25.328","-25.328","69.6","8.0",264,150,27,10,0,3,110,41.7,4,1.5,2.41031,0.54556,1.24749,-0.96152,"90.9",112,28.000000000000004,5.333333333333334,3.0303030303030303,6.06,1.88,0.36,1.77,0.167,8,"-2.83310962",0.179,0.253,"2.83310962",-0.012,-0.011999999999999983,-0.026,-0.017,46.9,"46.3",17.656777963607144,-15.592343865491015,32.53467328639411,0.49053030303030304,41.30701308828669,39.26332500134798
886,592454,"Kahnle, Tommy",1037,85.4,0.217,0.158,0.239,0.374,0.294,0.324,0.248,44,203,88.4,10.1,1282,86.7,87.34,106,401,485,0.5999999999999943,6.68,113,148,113,149,296,327,297,"3.781","-3.781","69.6","7.5",225,162,28,7,2,7,41,18.2,22,9.8,2.94129,0.09384,0.98042,-0.11421,"92.1",127,37.03703703703704,9.25925925925926,6.666666666666667,5.49,-2.27,-0.14,1.97,0.293,15,"-0.426749436",0.322,0.42,"0.426749436",-0.031,-0.029000000000000026,-0.046,-0.03,26.4,"30.9",11.931661176437093,-6.37321750183795,33.32069232213636,0.5989847715736041,38.075234080576166,33.48980057874821
795,542881,"Anderson, Tyler",2353,33.8,0.22,0.168,0.264,0.387,0.296,0.301,0.223,42,191,85,15.9,1916,78.7,78,160,416,379,-0.7000000000000028,5.94,105,149,116,146,303,324,295,"-0.267","0.267","68.6","7.9",213,137,26,8,0,8,56,26.3,20,9.4,2.68387,1.01853,1.09586,-0.92074,"91.1",150,26.277372262773724,9.48905109489051,6.103286384976526,6.46,1.3,0.39,1.93,0.291,13,"0.033584906",0.296,0.389,"-0.033584906",-0.003,-0.0050000000000000044,-0.002,-0.005,38.5,"59.3",17.347247404436548,-15.508274192303064,31.839771521591935,0.48641975308641977,41.15830622039253,40.990183394775556
790,657277,"Webb, Logan",3282,24.1,0.204,0.102,0.315,0.307,0.24,0.259,0.225,46,225,90.6,-2.5,1502,86.5,87.63,143,447,343,1.0999999999999943,6.84,110,148,119,147,293,324,298,"10.472","-10.472","71.7","7.7",236,144,27,16,2,1,81,34.3,10,4.2,3.49781,-0.46861,0.70608,-0.15914,"93.0",84,44.75524475524475,8.391608391608392,5.084745762711865,4.88,-2.02,-0.2,1.53,0.242,12,"-1.32556962",0.261,0.327,"1.32556962",-0.021,-0.019000000000000017,-0.02,-0.019,32,"19.3",12.441981786716733,-7.729542208758874,36.77248101446385,0.5391705069124424,37.000788015533544,34.13747351069543
752,518876,"Kelly, Merrill",2835,26.5,0.198,0.123,0.257,0.321,0.256,0.277,0.223,42,212,88.4,3.6,2158,88.3,87.85,148,442,310,-0.3999999999999915,6.04,114,148,115,150,298,323,301,"6.423","-6.423","71.0","7.8",229,149,27,9,1,5,63,27.5,17,7.4,2.92177,0.00668,1.25902,-0.34399,"92.0",93,36.734693877551024,7.482993197278912,4.8034934497816595,5.51,-1.87,-0.36,1.53,0.258,11,"-0.85412234",0.282,0.344,"0.85412234",-0.025,-0.023999999999999966,-0.023,-0.021,33.5,"24.6",14.07310334406812,-8.68836005604436,35.70691916526837,0.5325581395348837,37.75241758137909,35.25776761685899
718,605488,"Springs, Jeffrey",2849,25.2,0.214,0.163,0.242,0.377,0.271,0.266,0.22,46,215,81.9,15.7,1395,79.2,78.9,175,422,296,-0.29999999999999716,6.17,107,150,121,145,301,324,292,"-1.858","1.858","68.3","8.1",230,159,31,5,0,10,59,25.7,12,5.2,3.08535,0.56253,1.04547,-1.01974,"90.9",155,23.89937106918239,5.031446540880504,3.4782608695652173,6.27,2.38,0.78,1.88,0.252,8,"0.258774373",0.259,0.35,"-0.258774373",-0.006,-0.007000000000000006,0.027,0.005,41.5,"45.2",17.928100594584844,-17.077282675067636,31.449780124252793,0.4735576923076923,43.082042877797,42.017767284770486
681,641927,"Ober, Bailey",2356,28.9,0.216,0.135,0.264,0.351,0.262,0.247,0.203,40,185,85.1,15.3,2029,83.3,84.45,112,380,301,1.2000000000000028,7.21,116,147,119,151,297,328,296,"3.501","-3.501","70.1","7.9",195,135,27,7,0,6,51,26.2,9,4.6,2.82023,0.48606,1.49526,-0.38524,"91.2",138,24.444444444444443,6.666666666666667,4.615384615384616,5.98,-1.45,-0.36,1.81,0.251,9,"-0.514096916",0.239,0.329,"0.514096916",0.013,0.01200000000000001,0.022,0.015,29.5,"31.0",17.80913603413673,-17.402529363240344,33.86259453474128,0.4274193548387097,37.77406164349018,40.75509722873623
675,686752,"Pepiot, Ryan",2700,25,0.2,0.145,0.258,0.345,0.245,0.264,0.215,40,200,89,7.8,2506,86.8,87.47,110,366,309,0.7000000000000028,6.66,109,148,120,149,300,325,297,"4.085","-4.085","70.8","7.7",209,138,23,11,0,6,64,30.6,7,3.3,2.84333,0.18163,1.19887,-0.1416,"92.7",135,39.416058394160586,9.48905109489051,6.220095693779904,5.94,-1.02,-0.38,1.95,0.225,13,"-0.605185185",0.243,0.358,"0.605185185",-0.015,-0.017999999999999988,-0.013,-0.019,30.1,"38.2",13.605178120398094,-8.631063230512968,33.75894834468702,0.5138121546961326,36.75593777661186,35.07085632735471
