"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
976,450203,"Morton, Charlie",2559,38.1,0.228,0.158,0.317,0.386,0.311,0.292,0.207,55,241,89.6,11.4,3163,81.4,80.91,182,480,496,-0.5,6.11,114,147,118,148,301,327,299,"-1.082","1.082","69.8","7.7",275,154,36,9,1,9,89,32.4,21,7.6,4.20616,-0.74475,-1.28001,0.2397,"92.1",129,35.064935064935064,10.38961038961039,5.818181818181818,5.32,-2.58,0.31,1.78,0.316,16,"0.110860656",0.299,0.354,"-0.110860656",0.021,0.017000000000000015,0.032,0.019,37.9,"20.9",15.0991477212731,-11.690900264746809,34.75760702653759,0.4810126582278481,35.71446122340611,37.70431624226835
956,664285,"Valdez, Framber",2898,33,0.193,0.105,0.377,0.298,0.268,0.235,0.163,46,238,87.4,4.8,2943,79.4,78.22,196,448,508,-1.2000000000000028,5.86,110,149,119,146,303,328,298,"-2.233","2.233","68.5","7.9",270,117,28,14,1,3,121,44.8,26,9.6,4.9011,-1.2304,-1.09672,0.74874,"92.0",92,39.31623931623932,5.128205128205128,2.2222222222222223,5.95,0.82,-0.2,1.56,0.289,6,"0.233577406",0.262,0.24,"-0.233577406",0.03,0.02699999999999997,0.058,0.033,43.8,"41.9",15.96344342728202,-14.754276396182453,34.87139036618781,0.4874715261958998,34.57647290124447,38.256112674390195
870,663623,"Irvin, Jake",2947,29.5,0.267,0.277,0.296,0.544,0.366,0.339,0.251,52,195,88.7,12.2,2486,77.8,78.74,101,399,471,0.9000000000000057,6.99,114,149,120,150,303,326,301,"-10.541","10.541","70.6","7.8",210,147,23,16,1,12,48,22.9,14,6.7,4.13215,-0.35453,-1.23444,0.38292,"92.4",128,42.758620689655174,15.172413793103448,10.476190476190476,5.72,-2.25,0.1,1.99,0.319,22,"1.211609195",0.305,0.489,"-1.211609195",0.016,0.014000000000000012,0.055,0.027,25.3,"28.3",18.084926397140638,-14.532032465704445,32.600023499557274,0.46564885496183206,37.80015034266882,40.801169021786826
709,666157,"Lodolo, Nick",2483,28.6,0.196,0.131,0.314,0.327,0.262,0.213,0.137,30,153,86.5,22.7,2569,81.9,81.54,143,353,356,-0.4000000000000057,6.1,109,151,119,148,297,322,287,"1.504","-1.504","68.5","8.1",168,89,17,9,1,3,65,38.7,4,2.4,3.40305,0.00335,-0.70303,0.25051,"91.8",134,34.090909090909086,7.954545454545454,4.166666666666666,5.44,3.71,-0.33,1.88,0.262,7,"-0.21212976",0.21,0.257,"0.21212976",0.059,0.05200000000000002,0.07,0.049,40.5,"16.5",17.952864859699034,-19.011461821797415,33.889184885835995,0.3942857142857143,36.84552040900254,41.06172866968111
697,572955,"Johnson, Pierce",979,71.2,0.24,0.18,0.275,0.419,0.293,0.293,0.232,40,167,90.9,16.7,2914,85.8,85.09,90,327,370,-0.7000000000000028,5.69,111,149,116,149,302,323,296,"1.932","-1.932","69.1","7.4",178,127,25,7,1,7,43,24.2,8,4.5,3.44165,-0.36072,-0.61493,-0.06875,"92.3",164,46.45669291338583,9.448818897637794,6.741573033707865,6.24,-1.87,0.08,2.07,0.27,12,"-0.277187948",0.267,0.419,"0.277187948",0.008,0.0030000000000000027,0,0,27.5,"40.4",9.438983985344736,-1.9717509094436094,33.79555979370767,0.5510835913312694,37.074741378911945,31.548994534126088
674,669022,"Gore, MacKenzie",2819,23.9,0.217,0.096,0.36,0.312,0.283,0.293,0.205,34,157,91.2,8.1,2345,81.6,82.26,105,293,381,0.7000000000000028,6.83,108,150,122,148,300,322,296,"0.685","-0.685","68.0","7.8",180,89,25,6,0,3,69,38.3,22,12.2,4.52157,-1.08206,-0.38726,0.32149,"92.5",119,46.06741573033708,12.359550561797752,6.111111111111111,5.77,1.72,-0.05,1.61,0.311,11,"-0.101632047",0.302,0.354,"0.101632047",0.012,0.009000000000000008,-0.042,-0.01,35.8,"51.2",13.55495659217494,-11.001160688127316,33.37427451119414,0.5578947368421052,36.08581736539117,37.11887686760119
659,694738,"Roupp, Landen",1853,35.6,0.197,0.156,0.245,0.354,0.281,0.267,0.186,29,147,83.8,14.3,3029,76.7,76.01,111,309,350,-0.7000000000000028,6.13,109,149,121,148,296,325,296,"0.881","-0.881","68.6","7.9",167,100,18,5,0,6,49,29.3,17,10.2,4.47288,-0.54844,-1.5492,-0.1102,"90.8",130,20,7.000000000000001,4.191616766467066,5.63,-2.4,0.13,1.82,0.281,7,"-0.133687405",0.275,0.32,"0.133687405",0.011,0.006000000000000005,0.034,0.014,35.9,"28.5",19.520744392367956,-16.990144372090683,34.82702456026791,0.4152823920265781,38.27773333148309,42.42758318565097
644,668909,"Williams, Gavin",2925,22,0.116,0.065,0.177,0.181,0.188,0.238,0.171,16,138,88.1,1.8,2454,82,82.35,88,256,388,0.4000000000000057,6.74,113,147,124,150,298,320,301,"6.028","-6.028","68.9","7.8",156,81,12,1,1,2,58,37.2,16,10.3,4.52957,-1.11026,-0.83163,0.51135,"91.9",108,33.33333333333333,2.4691358024691357,1.282051282051282,6.18,-2.78,-0.15,1.63,0.212,2,"-0.936024845",0.26,0.256,"0.936024845",-0.055,-0.048000000000000015,-0.075,-0.05,34.4,"39.3",14.71130093013921,-11.102849408011176,34.04531806696348,0.5217391304347826,36.02137709559309,36.67516821484333
638,601713,"Pivetta, Nick",2856,22.3,0.216,0.137,0.25,0.353,0.26,0.342,0.279,33,153,89.5,6.3,2797,79,79.09,43,266,372,0.09999999999999432,6.73,121,148,120,152,299,326,302,"4.873","-4.873","70.2","7.6",161,120,20,9,0,4,34,21.1,7,4.3,5.09964,-1.39351,-0.58748,0.394,"92.8",121,43.333333333333336,10.833333333333334,8.074534161490684,6.84,-1.01,-0.14,2.17,0.248,13,"-0.763793103",0.31,0.488,"0.763793103",-0.063,-0.062,-0.135,-0.082,16.2,"58.0",14.090331437830692,-10.594273706554285,32.00483509893896,0.5708661417322834,36.566284894198155,37.609144058687775
593,680730,"Parker, Mitchell",2707,21.9,0.299,0.209,0.35,0.507,0.359,0.367,0.312,40,134,92.9,12.8,2280,81.1,82.07,80,275,318,1,6.76,109,150,121,148,304,324,300,"-8.536","8.536","68.2","7.5",143,107,21,14,1,4,28,19.6,7,4.9,4.0273,-0.58179,-0.05979,0.03147,"93.2",150,48.598130841121495,9.345794392523365,6.993006993006993,6.19,1.62,0.06,2.07,0.336,10,"1.439460371",0.348,0.511,"-1.439460371",-0.013,-0.011999999999999955,-0.004,-0.008,29.1,"59.5",11.114527332522364,-9.119875003680264,31.721994536938183,0.46494464944649444,35.98476868571366,36.6259201569039
