"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
873,676979,"Crochet, Garrett",3151,27.7,0.251,0.14,0.282,0.391,0.295,0.297,0.249,54,215,87.2,9.9,2596,90.9,91.78,116,477,396,0.8999999999999915,6.71,107,150,115,146,293,321,288,"9.614","-9.614","71.9","7.4",228,176,37,10,1,6,40,17.5,12,5.3,2.23564,0.51835,-0.30709,0.21536,"92.3",128,36.57142857142857,6.857142857142858,5.263157894736842,6.18,2.43,-0.19,2.37,0.289,12,"-1.101260023",0.289,0.386,"1.101260023",0.002,0,0.005,-0.002,24.3,"36.8",10.966995653660202,-4.4450320594710995,32.3378119370402,0.5053533190578159,34.65817555918107,31.10773638531152
870,608331,"Fried, Max",3110,28,0.237,0.119,0.268,0.356,0.298,0.319,0.262,52,219,86.2,10.6,2303,93.6,94.12,87,466,404,0.5,6.48,109,151,122,150,294,321,283,"11.739","-11.739","70.6","6.8",245,186,34,13,2,3,34,13.9,22,9,1.84623,0.74718,-0.12875,0.10098,"91.9",148,33.87096774193548,6.989247311827956,5.3061224489795915,6.03,1.54,-0.47,2.7,0.314,13,"-1.349310345",0.336,0.38,"1.349310345",-0.025,-0.02200000000000002,-0.024,-0.021,18.7,"46.8",3.791529945858904,8.2239505545365,32.29409837923603,0.4217391304347826,32.0327566154795,24.480938192361176
825,694477,"Patrick, Chad",2015,40.9,0.259,0.184,0.323,0.443,0.331,0.323,0.245,48,185,90.4,28.9,2411,87.9,87.64,127,465,360,-0.30000000000001137,6.18,112,149,122,150,303,328,300,"2.943","-2.943","70.1","7.4",205,134,28,13,0,7,53,25.9,15,7.3,1.93139,1.02657,-0.31773,-0.11976,"91.6",186,40.298507462686565,8.955223880597014,5.853658536585367,5.43,-1.48,0.33,2.69,0.322,12,"-0.356727273",0.31,0.436,"0.356727273",0.014,0.01200000000000001,0.007,0.008,27.3,"31.4",11.69319041095471,-3.7077987643179484,29.84564342263062,0.5951327433628318,38.88513181824385,31.543703491694703
726,656876,"Rasmussen, Drew",2317,31.3,0.164,0.145,0.158,0.308,0.231,0.276,0.222,26,159,90.6,8,2704,90.3,91.13,104,385,341,0.7999999999999972,6.57,109,148,117,149,299,323,296,"13.569","-13.569","71.4","7.3",171,127,17,2,0,7,33,19.3,8,4.7,2.45324,0.32221,-0.37972,0.05646,"92.6",128,43.30708661417323,5.511811023622047,4.093567251461988,5.91,-1.97,0.63,2.16,0.216,7,"-1.869008264",0.271,0.361,"1.869008264",-0.058,-0.05500000000000002,-0.053,-0.045,27,"53.9",9.823111772303104,-1.5081479203671218,32.95800868610514,0.5376344086021505,34.54387767222085,29.86845533262788
704,445276,"Jansen, Kenley",878,80.2,0.159,0.14,0.165,0.299,0.236,0.316,0.217,25,157,92.4,28.7,2602,92.8,93.59,99,390,314,0.7999999999999972,6.89,110,146,116,148,306,327,302,"12.675","-12.675","72.0","7.1",173,121,15,4,0,6,37,21.4,15,8.7,1.09756,1.56489,-0.20337,-0.0247,"91.9",196,47.93388429752066,9.917355371900827,6.9364161849710975,6.32,-2.22,-0.12,2.65,0.231,12,"-1.800426136",0.283,0.455,"1.800426136",-0.058,-0.05199999999999996,-0.156,-0.08,25.4,"51.3",8.571213578179233,0.8092130495078314,30.963290767984994,0.5254691689008043,35.55455386976486,28.643948861000222
660,607200,"Fedde, Erick",2374,27.8,0.307,0.258,0.315,0.564,0.386,0.348,0.268,50,163,89.6,21.7,2138,90.3,91.27,69,328,332,1,6.68,112,147,115,149,299,324,299,"-8.881","8.881","70.3","6.9",177,139,27,13,1,9,26,14.7,12,6.8,2.01545,0.76127,-0.10505,0.01028,"91.8",182,43.47826086956522,9.420289855072465,7.344632768361582,5.85,-1.45,0.1,2.87,0.35,13,"1.345606061",0.316,0.503,"-1.345606061",0.039,0.033999999999999975,0.061,0.038,21,"36.2",6.298948385463785,6.808148598474943,31.69073342248387,0.5157232704402516,36.843456053105726,25.897462131930077
645,571578,"Corbin, Patrick",2590,24.9,0.26,0.185,0.284,0.445,0.341,0.342,0.265,38,146,88.5,14.6,2325,87.5,88.24,80,341,304,0.7000000000000028,6.76,109,150,113,146,296,323,296,"5.641","-5.641","72.7","7.2",165,121,21,12,0,5,26,15.8,17,10.3,2.4325,0.54631,-0.07224,0.05597,"92.9",131,37.5,6.666666666666667,4.848484848484849,6.08,2.75,-0.39,2.46,0.339,8,"-0.874573643",0.347,0.424,"0.874573643",-0.005,-0.007999999999999952,0.021,-0.001,23.5,"33.5",10.1904280878457,-2.4111886677109475,33.4054859066722,0.5552147239263804,32.85603304627312,29.391476799327755
620,676440,"Bibee, Tanner",2975,20.8,0.22,0.203,0.211,0.424,0.309,0.291,0.214,26,118,89.7,23.3,2705,86.2,86.74,92,308,312,0.5,6.63,110,149,123,148,298,321,298,"4.37","-4.37","70.9","7.7",129,97,16,3,0,7,21,16.3,9,7,2.804,0.26798,-0.66268,-0.12261,"91.8",146,37.11340206185567,6.185567010309279,4.651162790697675,6.28,-2.28,0.39,2.29,0.287,6,"-0.70483871",0.281,0.383,"0.70483871",0.006,0.00599999999999995,0.041,0.018,29.9,"52.6",13.95636774487484,-8.548561319201145,32.076766559853894,0.5819397993311036,37.89400857467602,34.42994048304942
618,592836,"Walker, Taijuan",2062,30,0.238,0.238,0.217,0.475,0.344,0.31,0.209,29,122,87.6,25,2434,87.1,86.79,55,279,339,-0.29999999999999716,5.9,109,147,114,148,295,321,292,"1.778","-1.778","70.6","7.2",137,101,18,2,0,9,21,15.3,15,10.9,1.92681,1.05916,-0.25631,0.00636,"91.5",175,36.633663366336634,7.920792079207921,5.839416058394161,6.5,-1.91,0.18,2.7,0.321,8,"-0.287702265",0.295,0.419,"0.287702265",0.029,0.026000000000000023,0.056,0.034,19.7,"40.1",11.858933343001123,-0.17289304305125264,29.673080563107657,0.5714285714285714,38.20438688764843,30.478522075568836
611,687765,"Spence, Mitch",1362,44.9,0.313,0.218,0.314,0.531,0.387,0.393,0.306,46,147,92.3,12,2682,91.1,91.21,60,304,307,0.10000000000000853,6.26,111,148,117,147,299,324,295,"-4.959","4.959","68.8","7.0",165,129,30,8,0,8,20,12.1,14,8.5,2.37576,0.36447,-0.32499,-0.01867,"93.6",165,49.21875,10.9375,8.484848484848486,6.11,-2.35,0.16,2.53,0.376,14,"0.811620295",0.374,0.545,"-0.811620295",0.007,0.0020000000000000018,-0.014,-0.006,19.7,"43.7",6.44407220632636,4.3983222606889125,31.560198512273118,0.5474452554744526,36.08597998281132,26.709605651791872
