"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1648,642547,"Peralta, Freddy",3089,53.4,0.209,0.171,0.239,0.381,0.309,0.347,0.237,71,339,91.7,23,2441,94.8,95.41,178,777,871,0.6000000000000085,6.8,114,149,122,151,303,328,300,"9.098","-9.098","68.9","6.6",392,246,45,10,0,16,93,23.7,45,11.5,1.1566,1.39635,0.38492,-0.03378,"91.4",199,42.10526315789473,12.955465587044534,8.16326530612245,5.42,-3.36,-0.21,2.91,0.315,32,"-0.552063107",0.339,0.46,"0.552063107",-0.028,-0.02400000000000002,-0.079,-0.038,22.9,"41.4",3.8311843273675183,9.162332319729524,30.93693324462243,0.44823066841415465,35.68831125265293,23.109169619256093
1626,592332,"Gausman, Kevin",3038,53.5,0.232,0.15,0.262,0.382,0.3,0.341,0.259,91,393,92.3,21.2,2260,94.5,94.69,147,868,758,0.20000000000000284,6.65,111,149,116,149,294,324,295,"20.438","-20.438","70.9","6.8",435,311,58,20,0,13,83,19.1,36,8.3,1.17669,1.40129,0.92489,0.01705,"91.8",201,46.94533762057878,9.32475884244373,6.666666666666667,5.81,-2.43,-0.18,2.42,0.3,29,"-1.256949569",0.325,0.467,"1.256949569",-0.027,-0.025000000000000022,-0.085,-0.041,16.9,"38.4",3.149970935482165,8.193092258930747,33.201747433198854,0.4,35.606090910081846,22.779501757570106
1592,592662,"Ray, Robbie",3072,51.8,0.206,0.15,0.255,0.357,0.291,0.303,0.209,74,359,91.7,24.4,2360,93.6,93.14,194,823,769,-0.5,6.15,109,150,120,148,294,324,293,"9.183","-9.183","69.1","6.7",412,255,45,16,1,12,108,26.2,46,11.2,1.10283,1.51345,0.68736,-0.32778,"91.3",204,45.2755905511811,10.62992125984252,6.553398058252427,6.22,2.57,0.11,3.1,0.299,27,"-0.576821608",0.302,0.388,"0.576821608",-0.003,-0.0030000000000000027,-0.031,-0.012,23.6,"47.0",4.940626327763022,9.736859214865431,28.787087403163024,0.4962871287128713,36.83683540096062,22.79020429618003
1525,669194,"Nelson, Ryne",2467,61.8,0.208,0.154,0.243,0.361,0.278,0.312,0.244,77,371,91.4,16.4,2270,95.7,96.66,160,835,690,1,6.9,112,149,119,150,301,324,298,"23.046","-23.046","69.5","6.6",404,279,47,15,3,12,92,22.8,31,7.7,0.89612,1.59888,0.27121,0.00669,"91.5",197,45.51971326164875,7.526881720430108,5.198019801980198,6.2,-1.15,0,2.84,0.272,21,"-1.511213115",0.305,0.412,"1.511213115",-0.036,-0.032999999999999974,-0.051,-0.034,19.2,"54.5",3.9436362749850016,9.731810262513896,30.602397819519222,0.45153374233128835,35.24450048903338,22.53749284746457
1497,680730,"Parker, Mitchell",2707,55.3,0.266,0.179,0.262,0.445,0.346,0.394,0.307,95,357,93.7,17.2,2168,93,93.84,82,763,734,0.7999999999999972,6.88,108,150,120,148,303,324,300,"-6.358","6.358","70.4","6.8",413,326,58,23,1,13,37,9,47,11.4,1.14806,1.49816,0.48338,-0.23741,"92.8",188,54.90797546012271,10.122699386503067,7.990314769975787,6.33,1.25,0.04,2.77,0.351,33,"0.424716099",0.388,0.532,"-0.424716099",-0.041,-0.03700000000000003,-0.087,-0.048,10.7,"64.3",4.84847779112287,8.332531187662667,29.946296580780277,0.49129852744310576,36.23465870862918,24.723803684640366
1409,668678,"Gallen, Zac",3137,44.9,0.247,0.171,0.273,0.418,0.319,0.356,0.264,78,316,93.5,17.1,2322,93.6,93.83,72,556,853,0.20000000000000284,6.56,111,149,117,150,301,324,300,"3.486","-3.486","69.5","6.8",353,256,49,15,3,11,63,17.8,32,9.1,1.18402,1.43235,0.35935,-0.01131,"92.9",195,52.734375,11.71875,8.498583569405099,6.04,-2.71,-0.09,2.65,0.317,30,"-0.24740951",0.334,0.499,"0.24740951",-0.017,-0.017000000000000015,-0.081,-0.037,12.9,"44.7",6.0216208050952575,6.179710195127908,32.17949183013942,0.5073529411764706,36.42419615802664,24.9967573675232
1402,657746,"Ryan, Joe",2798,50.1,0.205,0.184,0.249,0.39,0.279,0.279,0.195,68,331,91.9,25.9,2295,93.7,94.24,210,782,620,0.5,6.8,116,148,116,150,299,328,294,"16.907","-16.907","71.0","6.8",353,225,39,13,0,16,106,30,19,5.4,1.4749,1.14144,1.05136,-0.11692,"91.6",197,44.888888888888886,12.88888888888889,8.21529745042493,4.77,-2.47,0.14,2.85,0.255,29,"-1.205920114",0.245,0.407,"1.205920114",0.01,0.010000000000000009,-0.017,0,26.9,"25.5",4.923108481446882,8.538905816713275,29.49902579998033,0.4549019607843137,36.22522624643684,24.51563962734057
1387,669022,"Gore, MacKenzie",2819,49.2,0.294,0.19,0.318,0.483,0.366,0.379,0.29,79,269,91.8,21.1,2260,95.3,96.1,151,730,657,0.7999999999999972,6.87,109,150,121,149,300,321,297,"0.195","-0.195","69.9","6.7",308,223,52,15,0,12,51,16.6,32,10.4,1.10375,1.41779,0.55148,-0.31686,"91.4",199,47.98206278026906,10.762331838565023,7.792207792207792,5.69,1.98,-0.06,2.91,0.367,24,"-0.01405912",0.368,0.504,"0.01405912",0.004,-0.0010000000000000009,-0.021,-0.013,20.7,"42.7",3.671863013330755,10.253535344216317,30.14849272580097,0.4166666666666667,35.42604944951325,22.887406065114313
1384,622491,"Castillo, Luis",2988,46.3,0.201,0.208,0.231,0.409,0.29,0.286,0.193,63,313,91.9,26.8,2211,95,93.24,210,790,594,-1.7999999999999972,5.39,115,147,118,147,288,321,296,"11.938","-11.938","69.8","6.7",341,223,31,14,3,15,91,26.7,24,7,1.50835,1.03134,1.08036,-0.1179,"91.5",210,49.775784753363226,14.349775784753364,9.3841642228739,5.16,-2.18,0.04,3.12,0.264,32,"-0.862572254",0.256,0.408,"0.862572254",0.008,0.008000000000000007,0.001,0.004,26.6,"17.0",5.496425284628226,7.831630403355621,28.91082032055867,0.4845758354755784,36.73967288039651,23.7807172260768
1381,601713,"Pivetta, Nick",2856,48.4,0.18,0.144,0.223,0.324,0.257,0.321,0.214,59,327,93.5,27.5,2325,93.8,94.41,173,692,689,0.6000000000000085,6.87,120,150,121,151,302,327,301,"20.597","-20.597","69.5","6.7",364,219,38,8,0,13,111,30.5,33,9.1,0.97282,1.63991,0.22423,-0.03021,"92.4",207,55.04587155963303,13.761467889908257,8.241758241758241,6.8,-1.01,0.07,3.11,0.255,30,"-1.491455467",0.291,0.439,"1.491455467",-0.034,-0.035999999999999976,-0.115,-0.064,25,"56.9",6.147917791438533,7.1604612137832095,28.998370242305665,0.527736131934033,35.821291691188996,24.577594322867398
