"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
739,667755,"Soriano, José",2784,26.5,0.183,0.153,0.278,0.336,0.262,0.241,0.168,24,131,86.1,8.2,2489,85.2,85.48,115,264,475,0.29999999999999716,6.65,108,147,116,149,305,327,301,"0.856","-0.856","67.6","7.9",144,76,13,6,1,4,55,38.2,12,8.3,3.98774,-0.82558,-1.0441,-0.00313,"91.6",117,26.31578947368421,10.526315789473683,5.555555555555555,5.99,-1.01,0.13,1.88,0.257,8,"-0.115832206",0.243,0.296,"0.115832206",0.015,0.014000000000000012,0.04,0.021,43.6,"41.1",15.794453897435911,-12.531205384186146,33.292883405961,0.5193798449612403,38.92219226715057,37.94939157537823
735,668678,"Gallen, Zac",3137,23.4,0.215,0.22,0.319,0.435,0.302,0.255,0.187,38,177,89.6,2.9,2441,81.1,81.23,143,367,368,0.10000000000000853,6.46,112,148,118,149,300,324,299,"-4.023","4.023","69.6","7.9",192,100,18,10,1,9,78,40.6,14,7.3,4.43299,-0.95422,-0.40916,-0.01452,"92.4",98,45.45454545454545,11.11111111111111,5.729166666666666,5.93,-2.92,0.06,1.44,0.271,11,"0.547346939",0.246,0.333,"-0.547346939",0.028,0.025000000000000022,0.102,0.047,39,"41.6",16.691285926234887,-15.691584542710665,35.39815003873891,0.5165745856353591,36.2567302473331,40.6078056258382
730,669358,"Baz, Shane",2724,26.8,0.214,0.107,0.331,0.321,0.263,0.249,0.193,48,224,90.6,1.7,2699,85,84.96,103,348,382,0,6.31,108,149,119,148,302,323,295,"-0.078","0.078","68.8","7.4",243,139,30,15,0,3,86,35.4,13,5.3,4.20448,-1.03971,-0.62959,-0.16753,"92.9",104,43.884892086330936,8.633093525179856,4.938271604938271,5.86,-1.33,0.27,2.05,0.272,12,"0.010684932",0.252,0.306,"-0.010684932",0.021,0.020000000000000018,0.015,0.014,29.6,"40.0",9.087878413900729,-4.362025170572614,32.02707128172384,0.5752212389380531,36.85883457159298,32.9145763876007
718,656427,"Flaherty, Jack",2835,25.3,0.205,0.175,0.318,0.38,0.275,0.234,0.177,34,166,84.3,7.9,2389,77.8,77.95,152,359,359,0.20000000000000284,6.46,113,148,117,150,294,327,296,"-2.26","2.26","68.6","8.0",177,94,17,11,0,6,72,40.7,10,5.6,4.50077,-0.72286,-1.00827,0.06791,"91.2",111,35.1063829787234,8.51063829787234,4.519774011299435,5.2,-2.66,0.11,1.36,0.254,8,"0.314763231",0.228,0.301,"-0.314763231",0.028,0.025999999999999995,0.079,0.041,42.3,"24.9",17.932719905149842,-20.616929228236355,34.25417037676613,0.5,37.25113939945145,43.39297708723836
701,676962,"Brown, Ben",1759,39.9,0.252,0.16,0.387,0.413,0.302,0.263,0.217,52,206,90.3,7.9,2284,87.2,87.73,166,385,316,0.5,6.58,111,149,116,150,299,321,296,"-3.383","3.383","68.8","7.7",220,125,34,9,3,6,83,37.7,12,5.5,3.19506,-0.20123,-0.21683,-0.02662,"92.3",134,41.6,8,4.545454545454546,6.53,-1.53,0.21,1.67,0.291,10,"0.482596291",0.259,0.338,"-0.482596291",0.035,0.03199999999999997,0.075,0.039,43.1,"46.5",13.832390633391237,-9.635909694288241,33.226384577029364,0.5197889182058048,37.85280478902567,36.33072921499187
659,608566,"Márquez, Germán",2091,31.5,0.208,0.214,0.266,0.421,0.287,0.278,0.215,33,159,90.7,16.3,2652,85.5,84.42,121,329,330,-1.0999999999999943,5.52,114,148,118,147,300,329,301,"-6.049","6.049","68.4","7.8",168,102,16,8,1,8,57,33.9,8,4.8,3.18458,-0.07187,-0.14294,0.0526,"92.6",143,44.11764705882353,10.784313725490197,6.547619047619048,6.27,-2.13,0.09,1.6,0.25,11,"0.917905918",0.257,0.385,"-0.917905918",-0.007,-0.007000000000000006,0.036,0.009,36.8,"43.7",15.605083278488971,-11.48467577091863,34.81782880817022,0.5077399380804953,37.48695280778823,37.50116293905963
648,607536,"Freeland, Kyle",2490,26,0.183,0.053,0.268,0.237,0.22,0.243,0.197,31,169,88.4,1.9,2395,82.6,83.3,117,315,333,0.7000000000000028,6.54,112,151,121,146,302,330,300,"5.438","-5.438","68.7","7.9",184,113,24,6,0,1,57,31,11,6,3.86412,-0.5467,-0.17487,0.11013,"92.8",109,44.24778761061947,1.7699115044247788,1.0869565217391304,5.65,2.61,0.01,1.54,0.245,2,"-0.839197531",0.258,0.281,"0.839197531",-0.014,-0.013000000000000012,-0.044,-0.023,37.1,"27.3",12.98044047490966,-10.495169695356394,34.98749384292204,0.5182724252491694,36.58574978168361,35.67002186009142
568,663893,"Little, Brendon",1252,45.4,0.146,0.041,0.34,0.187,0.197,0.209,0.128,18,123,89.3,6.9,1797,87,85.85,140,250,318,-1.2000000000000028,5.72,108,146,114,145,292,322,294,"7.652","-7.652","67.3","7.7",139,51,16,0,1,1,74,53.2,13,9.4,3.66011,-0.62887,-0.19187,0.02336,"92.4",95,49.01960784313725,9.803921568627452,3.597122302158273,6.2,1.75,-0.22,1.09,0.23,5,"-1.347183099",0.225,0.198,"1.347183099",0.018,0.0050000000000000044,-0.011,-0.012,56,"40.4",13.693275323790957,-8.334339633981473,35.97536757905482,0.49586776859504134,38.09980460853638,34.90280723308852
530,686613,"Brown, Hunter",2968,17.9,0.15,0.068,0.247,0.218,0.18,0.237,0.203,20,133,89.8,-1,2574,83.5,83.39,91,232,298,-0.09999999999999432,6.56,112,148,119,149,295,327,303,"9.075","-9.075","67.6","7.5",140,75,15,3,0,2,59,42.1,6,4.3,4.64251,-1.32906,-0.42451,0.15345,"92.4",93,44,5.333333333333334,2.857142857142857,6.23,-2.04,0.06,1.75,0.186,4,"-1.712264151",0.237,0.302,"1.712264151",-0.053,-0.05099999999999999,-0.084,-0.057,39.2,"57.8",11.371960751531905,-4.673749780060297,33.879365379897166,0.5502183406113537,36.90448353893639,33.8957799845398
457,605400,"Nola, Aaron",1568,29.1,0.274,0.188,0.391,0.462,0.34,0.291,0.237,32,117,85.9,4,2612,78.2,78.46,90,230,227,0.29999999999999716,6.7,112,146,113,148,293,320,293,"-2.878","2.878","71.0","8.1",126,74,21,5,1,5,43,34.1,8,6.3,4.62015,-0.85923,-1.23258,0.3514,"92.3",109,36.486486486486484,8.108108108108109,4.761904761904762,5.12,-1.94,0.18,1.57,0.325,6,"0.6297593",0.292,0.369,"-0.6297593",0.037,0.03300000000000003,0.093,0.049,39.1,"21.5",17.643161240225083,-17.19633823717409,34.561447260483554,0.5353982300884956,37.634149718241076,41.99869138964403
