"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1364,667755,"Soriano, José",2784,49,0.291,0.09,0.306,0.381,0.342,0.352,0.286,103,354,92.9,-7.3,1922,97.2,97.89,106,653,711,0.7000000000000028,6.63,109,147,116,149,306,328,302,"1.914","-1.914","71.1","7.0",408,323,83,14,0,6,32,7.8,49,12,2.15053,0.26018,1.10449,-0.13125,"94.6",94,55.417956656346746,5.572755417956656,4.411764705882353,5.83,-1.26,-0.16,2.13,0.381,18,"-0.140322581",0.378,0.414,"0.140322581",0.005,0.0030000000000000027,-0.033,-0.01,16.2,"34.5",5.190202038263882,7.258645480983248,34.32963593322202,0.4960380348652932,37.09593735238789,24.275283179962255
1330,650911,"Sánchez, Cristopher",2897,45.9,0.269,0.073,0.312,0.342,0.302,0.321,0.259,92,342,92.2,0.2,2137,95.4,96.38,87,598,732,1,6.99,107,149,115,147,297,320,288,"18.528","-18.528","70.0","6.7",374,286,75,13,0,4,56,15,31,8.3,2.14643,0.3734,1.52664,-0.76512,"93.3",139,50.6993006993007,6.643356643356643,5.080213903743315,5.94,1.92,-0.07,2.32,0.332,19,"-1.393082707",0.323,0.411,"1.393082707",0.01,0.009000000000000008,-0.069,-0.019,14.5,"30.5",1.7510535582445674,11.310309992729842,33.62204999566832,0.3802083333333333,36.40180418721801,22.082231618750235
1302,664285,"Valdez, Framber",2898,44.9,0.275,0.101,0.282,0.376,0.312,0.359,0.304,92,335,92.4,2.1,2200,94.2,93.11,79,597,705,-1.1000000000000085,5.87,108,149,116,146,302,327,298,"15.201","-15.201","70.5","6.9",372,308,73,11,1,7,32,8.6,32,8.6,2.09583,0.49641,1.31235,-0.71639,"93.7",136,51.465798045602604,6.840390879478828,5.64516129032258,6.03,0.69,0.03,2.29,0.333,21,"-1.167511521",0.363,0.458,"1.167511521",-0.029,-0.02999999999999997,-0.082,-0.047,13.2,"42.0",3.6802032681917884,7.562844379627363,33.698903459906624,0.4411764705882353,36.91119496496826,23.970759342951823
1177,605135,"Bassitt, Chris",2836,41.5,0.297,0.134,0.335,0.431,0.351,0.356,0.292,86,290,89.9,3.2,2102,91.6,91.35,80,556,621,-0.19999999999998863,6.36,109,148,115,148,292,320,293,"2.085","-2.085","70.3","6.8",322,243,61,18,0,7,47,14.6,26,8.1,2.35575,0.38541,1.34997,0.11681,"92.5",135,44.44444444444444,7.818930041152264,5.900621118012422,5.44,-1.96,-0.24,2.46,0.366,19,"-0.177145285",0.362,0.45,"0.177145285",0.005,0.0040000000000000036,-0.019,-0.005,14.4,"31.3",2.832827522970058,9.262428336985256,33.433071408871484,0.4067796610169492,35.193137291305554,23.679853714074287
1155,663903,"Singer, Brady",2850,40.5,0.27,0.201,0.335,0.471,0.369,0.358,0.254,66,244,91.9,15.3,2362,92.2,93.23,75,437,718,1,7.01,112,149,118,149,293,323,294,"-5.452","5.452","69.6","6.6",295,179,37,18,2,9,70,23.7,37,12.5,1.84627,0.84601,1.32714,-0.22669,"92.3",187,50,11.797752808988763,7.118644067796611,5.19,-1.43,0.1,2.51,0.38,21,"0.472034632",0.369,0.445,"-0.472034632",0.016,0.01100000000000001,0.026,0.011,17.2,"23.6",2.1379854563584164,10.895245438486732,33.34967700207848,0.36470588235294116,36.12436516920285,22.629733219282922
1128,605280,"Holmes, Clay",2766,40.8,0.287,0.105,0.312,0.391,0.356,0.359,0.272,74,258,92.7,-1.3,2179,93.7,92.74,84,505,623,-1,5.86,112,149,114,150,299,326,296,"9.733","-9.733","70.6","7.0",313,226,57,12,0,5,35,11.2,44,14.1,2.37052,0.24626,1.2458,0.02232,"93.8",114,51.76991150442478,7.079646017699115,5.111821086261981,6.46,-0.83,-0.25,2.35,0.401,16,"-0.86285461",0.391,0.403,"0.86285461",0.015,0.010000000000000009,-0.012,-0.003,16.6,"43.1",6.590373606079324,6.169205172299555,33.80997082123408,0.524731182795699,35.519813954521354,25.971133854391
1102,657277,"Webb, Logan",3282,33.6,0.299,0.144,0.336,0.443,0.346,0.329,0.275,81,271,91.6,2.6,1959,92.6,93.31,58,442,660,0.7000000000000028,6.84,110,149,120,147,296,324,294,"7.403","-7.403","69.4","6.6",294,225,58,15,0,8,47,16,18,6.1,2.63367,0.03841,1.30784,0.38713,"93.2",132,47.11111111111111,7.555555555555555,5.782312925170068,5.08,-1.92,0.11,2.6,0.35,17,"-0.671778584",0.328,0.429,"0.671778584",0.024,0.021999999999999964,0.014,0.017,13.1,"24.0",1.642217021318847,12.20755476416444,32.978740873476475,0.3644859813084112,35.92469777477499,22.534709527829623
1056,693821,"Elder, Bryce",2519,41.9,0.277,0.198,0.308,0.475,0.359,0.345,0.256,67,242,91,4,2093,91.5,91.03,64,420,636,-0.5,6.1,111,150,119,150,305,324,296,"-7.359","7.359","71.8","7.1",270,193,41,15,0,11,49,18.1,24,8.9,2.04968,0.68391,1.20183,0.35177,"93.2",129,49.740932642487046,10.362694300518134,7.4074074074074066,6.44,-1.08,-0.15,2.03,0.352,20,"0.696875",0.333,0.464,"-0.696875",0.021,0.01899999999999996,0.011,0.014,15.2,"50.4",7.6290226029543575,1.5076778349523772,35.271729057311944,0.542997542997543,34.66308123497933,27.630956855717706
1026,682990,"Priester, Quinn",2469,41.6,0.269,0.107,0.303,0.375,0.32,0.327,0.272,68,253,89.8,-3.4,2043,93.9,94.08,59,439,587,0.19999999999998863,6.43,112,149,120,150,304,327,298,"6.049","-6.049","70.4","6.9",282,215,49,15,0,4,38,13.5,25,8.9,1.99374,0.59571,1.21984,0.1271,"92.6",120,42.25352112676056,4.694835680751173,3.546099290780142,6.02,-1.68,-0.07,2.36,0.344,10,"-0.58957115",0.348,0.387,"0.58957115",-0.003,-0.0040000000000000036,-0.012,-0.007,13.4,"45.5",4.604140225371758,6.7343666618265505,33.339369342957156,0.4799054373522459,37.558981283374585,25.277471303185965
986,543294,"Hendricks, Kyle",2583,38.2,0.3,0.182,0.316,0.482,0.362,0.329,0.27,76,253,87.1,12.8,1981,86.2,85.11,47,484,502,-1.1000000000000085,5.55,108,147,115,148,305,328,300,"-8.258","8.258","71.0","6.8",276,221,48,19,0,9,33,12,17,6.2,2.46445,0.60014,1.15551,0.10013,"91.9",153,39.81900452488688,7.6923076923076925,6.159420289855073,6.06,-2.63,-0.14,2.53,0.355,17,"0.837525355",0.329,0.422,"-0.837525355",0.03,0.025999999999999968,0.06,0.033,9.7,"42.5",2.725298027561168,7.506986164171091,33.99756590311033,0.38329764453961457,33.51321352594971,25.503806733669673
