"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1246,656302,"Cease, Dylan",3052,40.8,0.228,0.146,0.354,0.374,0.29,0.26,0.201,64,281,87.5,13.4,2763,89.1,89.08,280,653,593,0,6.35,116,149,123,149,302,323,298,"3.426","-3.426","69.1","7.9",308,166,39,17,0,8,116,37.7,24,7.8,2.60295,0.27855,-0.10643,-0.02684,"91.5",136,35.54216867469879,8.433734939759036,4.545454545454546,6.05,-1.51,0.39,1.71,0.288,14,"-0.274959872",0.264,0.32,"0.274959872",0.027,0.023999999999999966,0.054,0.03,42.9,"48.5",14.980769862170224,-11.778023375132358,33.18090212492274,0.5434439178515008,38.60793525225625,37.1869498699015
1121,579328,"Kikuchi, Yusei",3109,36.1,0.254,0.189,0.29,0.443,0.36,0.377,0.264,62,244,91.2,14.6,2295,87,87.71,135,540,581,0.7000000000000028,6.73,108,149,115,147,305,326,299,"4.189","-4.189","71.7","7.4",295,187,39,11,1,11,59,20,47,15.9,2.69905,0.31827,-0.23984,0.0839,"93.0",153,44.623655913978496,10.21505376344086,6.440677966101695,5.29,2.51,-0.08,2.12,0.376,19,"-0.373684211",0.387,0.475,"0.373684211",-0.01,-0.01100000000000001,-0.032,-0.017,25,"34.2",8.695334010774213,-1.5634796107646018,32.56331338738082,0.5038022813688213,36.40914258522131,30.99023913787537
983,594798,"deGrom, Jacob",2617,37.6,0.201,0.125,0.262,0.326,0.248,0.273,0.225,53,264,88.5,6.2,2698,90.4,91.18,187,479,504,0.7999999999999972,6.71,116,151,115,150,297,323,296,"12.029","-12.029","69.4","7.8",281,180,37,7,1,8,86,30.6,15,5.3,2.58828,0.20088,-0.39774,-0.05752,"92.6",135,39.10614525139665,6.70391061452514,4.270462633451958,5.52,-1.42,0.52,1.55,0.242,12,"-1.22370295",0.267,0.358,"1.22370295",-0.024,-0.025000000000000022,-0.032,-0.025,39,"32.7",12.052668258898246,-6.5575858975649,34.334714148941714,0.5399568034557235,39.711969918917994,33.482137164613945
959,519242,"Sale, Chris",2031,47.2,0.143,0.076,0.252,0.218,0.19,0.196,0.148,34,238,83.5,10.5,2356,79.1,79.06,187,469,490,0,6.41,109,150,119,148,303,323,294,"23.073","-23.073","65.6","7.9",256,126,23,7,1,3,113,44.1,10,3.9,3.91332,-0.24384,-0.87912,0.50705,"90.6",126,25.396825396825395,4.761904761904762,2.34375,4.84,3.1,-0.14,1.81,0.199,6,"-2.405943691",0.204,0.227,"2.405943691",-0.005,-0.004999999999999977,-0.009,-0.006,39.9,"8.5",16.972067730309718,-19.69571715713783,33.81017342120154,0.40979955456570155,36.79344745134133,42.0143772533611
910,607074,"Rodón, Carlos",3213,28.3,0.129,0.098,0.197,0.228,0.202,0.226,0.159,29,224,88.1,9.8,2633,85.9,85.35,170,420,490,-0.6000000000000085,5.94,111,150,124,151,294,321,284,"11.964","-11.964","68.4","7.6",248,127,17,7,0,5,98,39.5,18,7.3,3.15451,-0.06309,-0.46274,0.2149,"92.3",131,36.22047244094488,6.299212598425196,3.225806451612903,6.24,2.57,-0.29,1.76,0.21,8,"-1.314725275",0.237,0.256,"1.314725275",-0.03,-0.026999999999999996,-0.028,-0.024,40.5,"40.5",12.895496435069044,-8.287948113862077,33.56621577622172,0.48426150121065376,35.94694168759701,35.35511834408545
881,693821,"Elder, Bryce",2519,35,0.262,0.169,0.31,0.43,0.32,0.319,0.264,62,237,89,9.7,2491,84.3,84.01,149,467,414,-0.29999999999999716,6.09,113,150,121,150,304,324,297,"1.119","-1.119","69.6","7.8",255,182,40,12,2,8,56,22,16,6.3,3.21957,-0.01172,-0.15619,-0.0147,"92.6",141,40.65934065934066,5.4945054945054945,3.9215686274509802,6.49,-0.95,0.33,1.72,0.31,10,"-0.127014756",0.312,0.423,"0.127014756",-0.002,-0.0020000000000000018,0.007,0.001,31.9,"53.1",15.0060580552232,-9.835326147432491,34.711628176532244,0.5394736842105263,38.41942542414993,36.43808114439989
861,571578,"Corbin, Patrick",2590,33.2,0.258,0.185,0.32,0.444,0.313,0.296,0.247,46,178,87.4,14.9,2230,80.4,81,155,388,473,0.5999999999999943,6.75,112,151,114,148,295,323,296,"-7.662","7.662","69.2","8.0",185,129,28,10,1,7,49,26.5,7,3.8,3.50287,0.04145,-0.19996,0.06934,"92.2",139,38.759689922480625,8.527131782945736,5.9459459459459465,6.18,2.7,-0.16,1.39,0.286,11,"0.88989547",0.276,0.41,"-0.88989547",0.011,0.009999999999999953,0.034,0.017,39.9,"37.0",18.707228308133704,-16.562486822371064,35.439122887462695,0.48021108179419525,38.55337024977697,40.987047248795825
808,663903,"Singer, Brady",2850,28.4,0.195,0.126,0.233,0.321,0.245,0.278,0.23,42,215,89.4,13.2,2434,82.6,83.64,118,422,386,1,6.85,112,149,119,149,295,323,293,"8.217","-8.217","70.4","7.8",230,164,26,10,1,5,53,23,11,4.8,3.4228,-0.09649,-0.40611,0.06342,"92.3",122,35.36585365853659,6.707317073170732,4.782608695652174,5.27,-1.53,0.44,1.67,0.239,11,"-1.016955446",0.273,0.365,"1.016955446",-0.035,-0.03400000000000003,-0.044,-0.033,28,"26.3",15.03577634234541,-10.705866032953635,34.07922549714272,0.5423728813559322,37.91646336779331,37.41371524566994
787,641755,"Kinley, Tyler",1239,63.5,0.195,0.103,0.231,0.299,0.248,0.29,0.226,34,174,85.9,20.5,2556,87.4,86.73,139,417,370,-0.7000000000000028,5.59,113,148,117,147,301,327,298,"11.936","-11.936","67.9","7.8",191,134,24,6,0,4,42,22,13,6.8,2.73395,0.22346,-0.18407,-0.03642,"91.5",160,26.119402985074625,7.462686567164178,5.2356020942408374,6.51,-0.93,0.39,1.99,0.257,10,"-1.516645489",0.286,0.373,"1.516645489",-0.031,-0.02899999999999997,-0.074,-0.042,33.3,"45.6",15.879148887107664,-14.436471440724784,32.64092345431391,0.4899497487437186,37.99431944971068,37.475483020311295
773,669467,"Pallante, Andre",2722,28.4,0.197,0.133,0.228,0.329,0.276,0.293,0.226,34,173,87.9,6.3,2405,87.4,88.22,121,356,417,0.7999999999999972,6.62,110,148,115,148,301,324,294,"3.886","-3.886","69.1","7.4",199,132,23,4,2,5,43,21.6,23,11.6,3.03576,-0.07026,-0.39355,-0.1192,"91.9",129,38.34586466165413,8.270676691729323,5.527638190954774,6.02,-1.71,0.23,1.72,0.288,11,"-0.502716688",0.314,0.343,"0.502716688",-0.029,-0.026000000000000023,-0.014,-0.017,34,"56.0",9.9522678968835,-1.4448857015951915,33.1698903168604,0.5574712643678161,39.66744903609412,31.246316669287427
