"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
145,571760,"Heaney, Andrew",2085,7,0.389,0.222,0.429,0.611,0.428,0.37,0.288,7,18,86.1,24.6,2530,74,73.34,11,41,104,-0.7000000000000028,5.91,107,151,112,147,296,317,294,"-1.545","1.545","70.9","7.7",18,15,5,1,0,1,3,16.7,0,0,4.76331,-0.57703,-0.79883,0.64531,"90.8",181,26.666666666666668,20,16.666666666666664,5.29,2.84,0.23,2.22,0.389,3,"1.065517241",0.288,0.59,"-1.065517241",0.101,0.10100000000000003,0.021,0.058,26.8,"34.9",11.861415826416586,-8.200158227528872,34.62126232845014,0.55,38.5348140516352,37.31804630230924
114,607625,"Lugo, Seth",2381,4.8,0.192,0.038,0.263,0.231,0.203,0.175,0.159,5,26,78.9,11.1,2629,71.1,70.15,14,55,59,-0.8999999999999915,5.71,112,149,125,150,298,322,291,"1.381","-1.381","70.1","7.8",27,19,4,1,0,0,7,25.9,1,3.7,4.85947,-0.3131,-1.34605,-0.23412,"90.0",105,21.052631578947366,0,0,5.38,-1.61,0.21,2.5,0.222,0,"-1.211403509",0.19,0.195,"1.211403509",0.033,0.032,0.036,0.028,25.5,"26.7",20.675145520851373,-20.62901778170107,31.057219899503263,0.3888888888888889,38.89608062656522,46.236380678103586
51,571771,"Hernández, Enrique",125,40.8,0.308,0.077,0.308,0.385,0.373,0.323,0.256,4,13,77,1.7,1164,51.5,49.38,3,18,33,-2.1000000000000014,4.56,120,151,130,150,303,327,310,"-1.348","1.348","71.5","7.3",16,13,3,1,0,0,0,0,3,18.8,7.5349,1.40176,-1.40725,-0.29157,"89.4",89,15.384615384615385,0,0,6.79,-3.12,0.39,2.47,0.438,0,"2.643137255",0.395,0.278,"-2.643137255",0.052,0.04299999999999998,0.107,0.05,16.7,"64.7",16.35426960942017,-11.587199352137706,27.543824314020235,0.5882352941176471,36.63641118925548,40.76196462012197
14,645305,"Sánchez, Ali",18,77.8,1,0.667,0.75,1.667,0.847,0.461,0.37,3,3,97.9,24.3,1636,57.8,55.81,0,8,6,-2,4.34,120,151,131,150,306,333,306,"-1.708","1.708","73.7","6.8",4,4,1,2,0,0,0,0,0,0,5.29857,1.61357,0.51,-0.16857,"93.6",263,75,25,25,7.02,-1.81,0.32,3.06,0.75,1,"12.2",0.289,1.08,"-12.2",0.63,0.461,0.587,0.386,0,"44.5",14.698637970857805,-2.650103503488837,34.01702105035192,0.375,35.032758637563894,37.899814993893315
12,681146,"Bride, Jonah",114,10.5,0.5,0,0.5,0.5,0.441,0.308,0.301,2,4,88.4,23,2263,68.5,66.92,0,5,7,-1.5999999999999943,4.78,117,152,123,145,312,340,300,"-0.523","0.523","73.1","7.1",4,4,2,0,0,0,0,0,0,0,4.4175,0.43167,-0.35917,-0.35917,"90.8",180,25,0,0,5.98,-2.31,0.2,3.01,0.5,0,"4.358333333",0.301,0.424,"-4.358333333",0.199,0.199,0.076,0.133,0,"26.6",17.467786005604225,-4.700416624981399,29.77077917692727,0,35.625707931038946,37.33128205276851
6,571945,"Mikolas, Miles",2487,0.2,0,0,0,0,0,0.259,0.283,0,1,95.8,-7,2249,69.2,69.15,0,2,4,0,6.38,115,144,122,150,301,323,303,"0.005","-0.005","72.6","7.7",1,1,0,0,0,0,0,0,0,0,5.86333,-1.07667,-0.55833,0.33833,"94.8",64,100,0,0,6.48,-2.64,0.77,1.77,0,0,"-0.083333333",0.283,0.284,"0.083333333",-0.283,-0.283,-0.284,-0.259,0,"48.4",24.524904176848445,-12.37680428325845,35.77884325419508,0.5,31.675202208803846,43.60463851779917
6,607732,"Stallings, Jacob",26,23.1,0.333,0.333,0.333,0.667,0.417,0.307,0.192,1,3,86.8,38,1415,42.5,40.68,0,4,2,-1.7999999999999972,4.85,125,149,129,152,303,343,308,"-0.488","0.488","69.1","6.4",3,3,0,1,0,0,0,0,0,0,13.68833,-0.03667,-0.87667,0.52667,"91.1",324,33.33333333333333,33.33333333333333,33.33333333333333,6.6,-2.46,0.66,3.65,0.333,1,"8.133333333",0.192,0.551,"-8.133333333",0.141,0.14100000000000001,0.116,0.11,0,"37.4",22.1312514663069,-19.619392229307316,32.02412023542417,0.3333333333333333,20.436060505611437,36.85483635533292
2,677649,"Duran, Ezequiel",25,8,0,0,0,0,0,0.425,0.427,0,2,74.6,10.5,902,41.2,39.1,0,2,0,-2.1000000000000014,4.4,125,152,125,153,284,329,293,"0.514","-0.514","69.9","6.8",2,2,0,0,0,0,0,0,0,0,12.53,1.47,-1.48,0.31,"88.0",122,0,0,0,6.97,-0.77,0.82,2.63,0,0,"-25.7",0.427,0.501,"25.7",-0.427,-0.427,-0.501,-0.425,0,"67.3",16.93772616504665,-8.418210876112475,37.68995691262799,0.5,28.23560822126742,35.90257763565093
2,543243,"Gray, Sonny",2724,0.1,,,,,,,,,,,,2359,74.9,74.5,1,1,1,-0.4000000000000057,6.35,111,150,105,151,307,323,291,"0.002","-0.002","73.6","9.3",,,,,,,,,,,5.295,-1.175,-1.14,0.04,,,,,,5.52,-0.73,-0.4,2.36,,,"-0.1",,,"0.1",,,,,100,"49.9",39.30357620033065,-52.74237134145351,42.613893863034065,0,33.307644084335415,64.5632158791706
1,477132,"Kershaw, Clayton",1772,0.1,0,0,0,0,0,0.061,0.062,0,1,83.6,-22,2221,58.6,57.4,0,1,0,-1.2000000000000028,6.1,106,154,92,147,294,331,270,"0.22","-0.22","65.6","7.1",1,1,0,0,0,0,0,0,0,0,8.53,-1.65,-0.76,0.76,"88.0",6,0,0,0,6.89,1.35,-0.56,2.54,0,0,"-22",0.062,0.066,"22",-0.062,-0.062,-0.066,-0.061,0,"68.0",18.972637245785748,-0.7954396184254698,31.460769190993744,1,29.780309498811366,34.861569173612466
1,691594,"Sanoja, Javier",170,0.6,,,,,,,,,,,,1736,56.7,54.7,0,0,1,-2,4.5,115,152,127,148,298,320,300,"-0.022","0.022",,,,,,,,,,,,,7.08,0.07,-0.76,-0.76,,,,,,5.65,-1.74,1.51,2.02,,,"2.2",,,"-2.2",,,,,,"34.5",,,,,,
1,660644,"Bruján, Vidal",23,4.3,,,,,,,,,,,,1505,51.3,49,0,0,1,-2.299999999999997,3.9,130,146,143,154,298,313,287,"-0.031","0.031",,,,,,,,,,,,,8.77,-0.03,-0.64,0.64,,,,,,6.24,-1.55,0.82,1.16,,,"3.1",,,"-3.1",,,,,,"37.1",,,,,,
