"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
671,621244,"Berríos, José",2592,25.9,0.232,0.179,0.283,0.411,0.308,0.312,0.239,35,151,87.5,12.3,2362,82.5,82.2,96,288,383,-0.29999999999999716,6.25,110,149,118,148,294,325,296,"-5.261","5.261","70.4","7.8",165,106,23,4,1,7,45,27.3,13,7.9,3.7477,-0.37584,-1.2406,-0.08942,"92.0",126,35.23809523809524,11.428571428571429,7.2727272727272725,5.6,-2.12,0.3,1.66,0.297,12,"0.784053651",0.304,0.412,"-0.784053651",-0.007,-0.007000000000000006,-0.001,-0.004,33.3,"36.8",13.63235686024697,-8.744627083219049,34.73015492808122,0.5658362989323843,39.02506265704081,36.41747808620274
531,647336,"Soroka, Michael",1528,34.8,0.118,0.127,0.189,0.245,0.213,0.211,0.131,13,110,86,13,2918,80.4,79.94,80,209,322,-0.5,6.03,112,150,122,150,302,326,302,"6.656","-6.656","66.5","7.7",125,56,5,5,0,3,55,44,8,6.4,4.23045,-0.69364,-0.99554,0.06789,"90.9",120,28.57142857142857,5.357142857142857,2.4,5.92,-2.6,0.34,1.96,0.216,3,"-1.253483992",0.229,0.211,"1.253483992",-0.013,-0.013000000000000012,0.034,0.002,38.3,"35.4",16.709695766565,-15.600470164198102,32.833613463446916,0.42718446601941745,36.3658680024335,40.954898454685576
346,656794,"Newcomb, Sean",1554,22.3,0.172,0.065,0.313,0.237,0.197,0.208,0.166,16,93,88.8,14.6,2831,82,80.27,49,155,191,-1.7000000000000028,5.44,110,149,119,146,293,322,294,"5.288","-5.288","69.1","7.3",99,49,12,3,0,1,45,45.5,0,0,3.91697,-0.4824,-1.3839,0.42471,"91.7",131,30.612244897959183,10.204081632653061,5.05050505050505,5.8,2.76,-0.07,2.2,0.204,5,"-1.528323699",0.203,0.255,"1.528323699",0.006,0.0009999999999999731,-0.018,-0.011,31.6,"26.3",9.361025933295032,-3.827237802131949,33.982693651683604,0.4934210526315789,33.705117054091616,32.826141114777286
312,663554,"Mize, Casey",2357,13.2,0.232,0.159,0.342,0.391,0.285,0.221,0.165,16,69,86,21.7,2262,83.6,84.78,43,143,169,1.2000000000000028,6.88,110,149,117,147,303,329,294,"-2.497","2.497","69.7","7.7",74,41,11,2,0,3,29,39.2,4,5.4,3.28929,-0.04532,-0.58949,-0.29487,"90.9",159,26.82926829268293,4.878048780487805,2.7027027027027026,5.66,-2.34,0.6,1.9,0.27,2,"0.800320513",0.208,0.3,"-0.800320513",0.067,0.06200000000000003,0.091,0.064,30.1,"41.4",13.155691953430592,-7.203303199848841,31.585376263444367,0.5664335664335665,39.919259733938375,35.30054128113063
265,663574,"Santillan, Tony",1230,21.5,0.238,0.127,0.359,0.365,0.302,0.28,0.221,15,63,88.7,3.6,2190,86.1,85.21,45,114,151,-0.8999999999999915,5.81,111,149,119,148,296,324,292,"-4.004","4.004","68.9","7.7",71,40,10,3,1,1,23,32.4,4,5.6,3.56626,-0.47894,-0.8917,-0.07336,"92.2",120,39.02439024390244,2.4390243902439024,1.4084507042253522,5.38,-2.42,0.39,1.7,0.314,1,"1.510943396",0.299,0.321,"-1.510943396",0.017,0.015000000000000013,0.044,0.022,39.5,"26.4",11.970690989918737,-7.866209402419399,33.61171638873915,0.5309734513274337,38.889417560768436,33.239538949073506
227,657571,"Ferguson, Caleb",1054,21.5,0.208,0.042,0.278,0.25,0.251,0.307,0.246,10,48,83.2,-3.6,3012,80.5,80.36,23,90,137,-0.09999999999999432,6.28,106,149,113,145,295,316,290,"1.406","-1.406","67.9","7.5",55,36,8,2,0,0,13,23.6,3,5.5,4.52899,-0.99718,-0.74084,0.5159,"91.3",105,25,2.7777777777777777,1.8181818181818181,5.94,2.29,-0.18,1.81,0.291,1,"-0.61938326",0.334,0.3,"0.61938326",-0.038,-0.04300000000000004,-0.05,-0.056,25.6,"46.8",10.353211884479194,-5.524631835615848,33.14570219084701,0.5,36.59332113490094,34.56702414956789
226,607625,"Lugo, Seth",2381,9.5,0.208,0.25,0.189,0.458,0.326,0.37,0.243,10,48,90.2,23.5,2961,79.1,77.9,18,99,127,-1.1999999999999886,5.61,111,148,122,150,297,322,291,"-1.971","1.971","70.3","7.6",54,40,4,3,0,3,8,14.8,5,9.3,4.01783,-0.34906,-1.37292,-0.17814,"91.5",165,41.02564102564102,12.82051282051282,9.25925925925926,5.49,-1.62,0.29,2.27,0.296,5,"0.872123894",0.329,0.545,"-0.872123894",-0.035,-0.03300000000000003,-0.087,-0.044,18.2,"29.1",14.68024409335985,-8.549682803949054,33.22450355660866,0.5,39.304574395913775,35.19843046795365
168,500779,"Quintana, Jose",2177,7.7,0.122,0,0.167,0.122,0.171,0.178,0.119,5,41,78.6,20.5,2202,78.5,78.79,28,85,83,0.29999999999999716,6.56,113,145,120,151,302,326,302,"4.658","-4.658","65.5","7.8",46,30,5,0,0,0,11,23.9,5,10.9,3.74976,-0.04111,-0.86768,-0.85589,"89.3",106,13.333333333333334,0,0,5.66,2.25,-0.84,1.65,0.217,0,"-2.772619048",0.215,0.143,"2.772619048",0.003,0.0020000000000000018,-0.021,-0.007,32.9,"40.8",16.873251076246543,-14.480126340835755,32.65521184113457,0.42857142857142855,41.5996146120913,40.3687841179289
159,690986,"Harrison, Kyle",592,26.9,0.324,0.324,0.333,0.647,0.415,0.362,0.3,11,34,89.6,9.7,2146,82.2,82.43,21,72,87,0.20000000000000284,6.59,112,150,120,148,291,320,290,"-4.957","4.957","68.6","7.6",35,29,5,3,1,2,5,14.3,1,2.9,3.63082,-0.23778,-0.86635,0.19881,"92.5",153,48.275862068965516,10.344827586206897,8.571428571428571,4.72,2.33,-0.14,1.82,0.343,3,"3.117610063",0.32,0.532,"-3.117610063",0.024,0.02300000000000002,0.115,0.053,29.2,"24.5",11.789830630174434,-7.789742281255799,32.39028293403804,0.5352112676056338,40.03221690546138,34.48036701002928
135,573186,"Stroman, Marcus",705,19.1,0.174,0.043,0.2,0.217,0.191,0.229,0.212,4,23,85.9,13.3,2715,82.1,81.22,10,48,87,-0.8999999999999915,5.86,112,150,121,152,297,322,285,"2.187","-2.187","71.1","7.6",24,20,3,1,0,0,3,12.5,1,4.2,3.51259,-0.10947,-1.38785,-0.04622,"90.7",116,35,0,0,5.18,-1.14,0.58,1.86,0.208,0,"-1.62",0.245,0.27,"1.62",-0.038,-0.037000000000000005,-0.053,-0.038,20.8,"31.8",11.543858918715294,-3.566857660886314,34.321987136701345,0.6041666666666666,38.42480244993931,32.613076984444795
96,672335,"Pérez, Cionel",441,21.8,0.24,0.2,0.294,0.44,0.276,0.224,0.21,6,25,91.3,9.3,2529,83.1,82.47,17,52,44,-0.5999999999999943,5.99,110,146,119,144,303,322,296,"-0.352","0.352","67.6","7.5",26,18,3,2,0,1,8,30.8,0,0,3.7851,-0.46604,-0.90906,0.47385,"92.6",135,38.88888888888889,5.555555555555555,3.8461538461538463,5.5,1.35,-0.37,1.95,0.231,1,"0.366666667",0.203,0.334,"-0.366666667",0.03,0.027999999999999997,0.106,0.052,32.7,"39.1",12.444032497509692,-10.203135856132088,34.27849157100924,0.5918367346938775,33.6493941824587,36.401754669929694
