"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1135,592332,"Gausman, Kevin",3038,37.4,0.179,0.114,0.254,0.293,0.22,0.228,0.192,50,280,83.8,8.6,1691,84.9,85.29,232,598,537,0.3999999999999915,6.73,111,148,116,148,294,324,296,"8.706","-8.706","71.3","8.1",293,179,32,10,2,6,102,34.8,12,4.1,2.81298,0.37757,1.29038,0.00657,"91.5",109,30.16759776536313,6.70391061452514,4.09556313993174,5.63,-2.61,-0.21,1.48,0.212,12,"-0.767048458",0.225,0.294,"0.767048458",-0.013,-0.013000000000000012,-0.001,-0.008,38.8,"33.9",18.108919643752962,-17.428732648511886,33.77947770615205,0.47660311958405543,37.52930365332732,40.368506285396485
762,641793,"Littell, Zack",2791,27.3,0.248,0.144,0.276,0.392,0.277,0.266,0.238,55,222,89,9.1,1105,83.4,82.96,104,425,337,-0.4000000000000057,6.11,112,148,117,149,297,326,297,"-4.701","4.701","71.3","7.8",225,178,39,8,0,8,44,19.6,1,0.4,3.36959,-0.07766,0.97084,-0.17265,"91.8",120,35.59322033898305,4.519774011299435,3.5555555555555554,6.08,-0.71,-0.11,1.87,0.254,8,"0.616929134",0.245,0.374,"-0.616929134",0.01,0.009000000000000008,0.018,0.011,24.5,"37.2",15.509649817525275,-10.62198883110219,34.079492244349545,0.5298329355608592,36.96719811569635,37.30945577079278
710,808967,"Yamamoto, Yoshinobu",2792,25.4,0.132,0.107,0.204,0.239,0.183,0.18,0.14,26,197,89.4,-7.5,1429,90.9,91.43,157,373,337,0.5,6.53,111,150,124,150,295,319,298,"9.647","-9.647","71.4","7.6",207,108,15,6,0,5,89,43,9,4.3,2.58721,0.16747,0.94089,-0.17176,"92.5",70,41.66666666666667,5.555555555555555,2.898550724637681,5.41,-1.89,-0.39,1.46,0.174,6,"-1.358732394",0.181,0.219,"1.358732394",-0.008,-0.007000000000000006,0.02,0.003,42.1,"41.2",10.589937471900575,-4.074424336310856,35.95840606168422,0.6143250688705234,37.458716669687675,30.989938224196983
682,684007,"Imanaga, Shota",2178,31.3,0.223,0.142,0.268,0.365,0.259,0.264,0.217,47,211,87.1,12.9,1277,83,82.97,136,419,263,0,6.31,110,152,120,150,305,323,294,"5.627","-5.627","72.1","8.1",215,156,31,9,0,7,55,25.6,4,1.9,2.75836,0.55638,1.08113,-0.9045,"91.5",135,37.01298701298701,8.441558441558442,6.046511627906977,5.4,2.61,0.24,1.85,0.237,13,"-0.825073314",0.231,0.386,"0.825073314",0.006,0.005999999999999978,-0.021,-0.005,32.5,"35.0",16.475316245069685,-16.262330100442046,32.226330322442514,0.5,39.395919220941614,40.58997965935177
602,608372,"Sugano, Tomoyuki",2573,23.4,0.218,0.106,0.284,0.324,0.251,0.293,0.248,37,170,86,5.2,1590,87.3,87.46,82,289,313,0.20000000000000284,6.31,113,147,118,149,299,324,303,"1.998","-1.998","71.6","7.8",177,120,28,4,1,4,50,28.2,5,2.8,2.51905,0.46447,0.98581,-0.53625,"91.3",115,27.500000000000004,8.333333333333332,5.649717514124294,6.02,-2.33,-0.36,1.6,0.249,10,"-0.331893688",0.278,0.398,"0.331893688",-0.03,-0.029000000000000026,-0.074,-0.042,28.4,"42.1",13.803489348836592,-7.6805021358315395,34.69794579821215,0.5759717314487632,39.28586478656816,34.83447085871449
602,543135,"Eovaldi, Nathan",1924,31.3,0.198,0.102,0.282,0.299,0.241,0.264,0.22,33,167,89.1,3.2,1513,87.6,88.45,126,349,253,0.8000000000000114,6.85,114,150,112,150,294,323,296,"10.678","-10.678","72.8","7.8",179,112,20,11,0,2,56,31.3,9,5,2.95777,0.01844,1.03158,-0.16816,"92.1",85,41.07142857142857,6.25,3.910614525139665,5.43,-2.43,0.05,1.72,0.246,7,"-1.773754153",0.267,0.332,"1.773754153",-0.022,-0.02100000000000002,-0.033,-0.023,36.1,"32.5",14.845111945200735,-9.54199976802063,35.19058395150519,0.5117647058823529,37.05275494539099,35.68211932475195
568,663554,"Mize, Casey",2357,24.1,0.292,0.199,0.381,0.491,0.345,0.298,0.249,50,171,90,6.7,1446,88.6,89.55,115,345,223,1,6.87,116,148,115,150,293,329,299,"-10.736","10.736","72.1","7.7",177,120,31,11,1,7,51,28.8,5,2.8,2.54009,0.36557,1.19972,-0.52169,"92.6",117,41.66666666666667,10.833333333333334,7.344632768361582,5.76,-2.14,-0.23,1.72,0.316,13,"1.890140845",0.274,0.419,"-1.890140845",0.043,0.04199999999999998,0.072,0.047,33.3,"43.4",14.779853603627235,-9.442887076867319,33.79645224942534,0.5264705882352941,38.94586957832888,35.95260733974589
567,665152,"Kremer, Dean",2756,20.6,0.206,0.123,0.28,0.329,0.243,0.218,0.183,32,155,83.4,15.2,1131,81.9,81.66,122,311,256,-0.20000000000000284,6.12,115,146,120,149,296,325,301,"3.252","-3.252","70.9","8.0",160,104,21,7,0,4,51,31.9,5,3.1,2.58552,0.81259,0.88624,-0.49044,"90.6",124,24.03846153846154,5.769230769230769,3.75,6.33,-2.05,-0.29,1.85,0.231,6,"-0.573544974",0.209,0.29,"0.573544974",0.023,0.02200000000000002,0.039,0.025,39.2,"46.9",20.185424383323642,-20.81455008389408,31.846370733354433,0.39285714285714285,39.52892182689775,43.30923004008623
509,606160,"Montero, Rafael",1096,46.4,0.17,0.125,0.216,0.295,0.272,0.261,0.17,19,112,86.5,3.3,1618,87.9,88,92,254,255,0.09999999999999432,6.32,114,148,118,149,298,324,297,"3.915","-3.915","69.6","7.7",132,77,11,5,0,3,35,26.5,20,15.2,2.87305,0.07674,1.01057,-0.11894,"91.6",95,28.947368421052634,3.9473684210526314,2.272727272727273,4.94,-1.77,-0.35,1.63,0.295,3,"-0.769155206",0.297,0.255,"0.769155206",0,-0.0020000000000000018,0.04,0.011,36.2,"33.2",13.654043522567695,-10.598869920164534,34.33622228094635,0.5120967741935484,37.46435804454626,35.58358968626083
478,518585,"Cruz, Fernando",793,60.3,0.171,0.103,0.346,0.274,0.229,0.215,0.15,20,117,87.6,13.9,841,80.6,81.71,137,241,237,1.1000000000000085,6.97,112,149,123,151,291,320,285,"6.084","-6.084","65.8","8.1",127,54,12,6,0,2,63,49.6,10,7.9,3.49446,0.00656,0.37878,0.07013,"92.0",135,38.88888888888889,11.11111111111111,4.724409448818897,6.05,-2.19,0.22,1.51,0.236,6,"-1.272803347",0.217,0.26,"1.272803347",0.021,0.01899999999999999,0.014,0.014,56.8,"49.7",20.547921640288255,-26.51060683000715,32.571942185630604,0.3940677966101695,37.53359285011484,46.2463122875941
463,592836,"Walker, Taijuan",2062,22.5,0.283,0.192,0.293,0.475,0.346,0.339,0.292,34,120,90.3,0.3,1454,87.4,86.97,46,226,237,-0.4000000000000057,6.03,111,146,114,148,293,320,295,"-8.46","8.46","71.6","7.5",130,104,22,6,1,5,17,13.1,8,6.2,2.66082,0.32707,1.03637,-0.48812,"93.2",114,45.19230769230769,6.730769230769231,5.384615384615385,6.42,-1.94,-0.53,1.83,0.331,7,"1.827213823",0.34,0.442,"-1.827213823",-0.009,-0.009000000000000008,0.033,0.007,20.4,"39.8",10.804131932226937,-1.0998736457705254,33.610253490727985,0.6575342465753424,39.72626047212306,30.51734774419184
428,661395,"Duran, Jhoan",1086,39.4,0.23,0.062,0.255,0.292,0.248,0.263,0.231,26,113,89.4,-10.9,1825,97.8,97.58,58,249,179,-0.20000000000000284,6.23,113,147,116,148,294,324,293,"12.554","-12.554","71.5","7.0",120,99,21,4,0,1,15,12.5,6,5,2.24991,0.14202,1.16825,-0.03194,"92.8",85,43.43434343434344,5.05050505050505,4.166666666666666,6.02,-2.32,-0.19,2.07,0.267,5,"-2.93317757",0.267,0.33,"2.93317757",-0.001,0,-0.038,-0.015,23.3,"33.3",4.575279097523623,6.8316165193474925,33.964830347872464,0.4149377593360996,35.78116388468178,24.295790629017215
423,669302,"Gilbert, Logan",2156,19.6,0.119,0.081,0.31,0.2,0.16,0.138,0.099,16,135,82.9,11.9,725,81.8,83.29,123,244,179,1.5,7.41,114,147,122,146,288,321,296,"3.436","-3.436","67.2","8.0",141,45,11,2,0,3,90,63.8,2,1.4,3.50629,-0.07974,0.40178,-0.02628,"91.3",111,26.666666666666668,8.88888888888889,2.8368794326241136,5.66,-0.99,-0.07,1.43,0.156,4,"-0.812293144",0.138,0.164,"0.812293144",0.02,0.017999999999999988,0.036,0.022,50.4,"34.8",19.55228144907838,-21.65157018221636,33.331839199775196,0.42543859649122806,37.533318917661305,44.200989168938854
422,615698,"Quantrill, Cal",2006,21,0.268,0.188,0.299,0.455,0.317,0.311,0.272,30,112,89.4,10.3,1127,86.4,86.41,49,205,217,0,6.43,111,146,120,148,297,319,292,"-8.104","8.104","71.6","7.7",115,91,19,5,2,4,21,18.3,1,0.9,2.56609,0.50533,0.97431,-0.25716,"93.1",156,42.69662921348314,6.741573033707865,5.217391304347826,6.3,-1.29,-0.62,2.02,0.287,6,"1.920379147",0.292,0.427,"-1.920379147",-0.004,-0.0050000000000000044,0.028,0.006,23.9,"43.9",13.900446526748166,-8.197113145651475,32.55540005654196,0.5707070707070707,38.47738067228127,34.807460829653984
405,694973,"Skenes, Paul",2997,13.5,0.269,0.097,0.295,0.366,0.307,0.309,0.265,25,93,89.5,-3.4,1676,93.7,94.17,49,215,190,0.5,6.6,109,146,109,148,292,313,294,"1.513","-1.513","70.6","7.4",101,80,20,3,0,2,13,12.9,8,7.9,2.60242,-0.00198,1.11751,-0.38556,"92.4",72,44.871794871794876,5.128205128205128,3.9603960396039604,5.58,-2.46,-0.46,1.86,0.327,4,"-0.373580247",0.324,0.375,"0.373580247",0.004,0.0030000000000000027,-0.009,-0.002,22.8,"22.3",9.540782027733586,-3.067838994361852,33.51177340354711,0.5961538461538461,37.105998606989964,29.8266005592698
382,641816,"Mahle, Tyler",1381,27.7,0.198,0.099,0.235,0.297,0.239,0.306,0.251,22,111,85.1,9.9,1734,84.1,84.27,55,228,154,0.20000000000000284,6.53,113,149,112,150,295,325,297,"5.333","-5.333","71.6","7.8",119,87,15,5,0,2,25,21,7,5.9,2.67487,0.56816,1.15581,-0.2734,"91.2",128,29.88505747126437,8.045977011494253,5.88235294117647,5.59,-1.9,-0.31,1.92,0.244,7,"-1.396073298",0.297,0.399,"1.396073298",-0.053,-0.05299999999999999,-0.102,-0.067,24.1,"38.4",16.92357727821284,-13.22174515199952,32.883102688283955,0.4864864864864865,40.07185622623236,37.70876010335342
