"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
932,666200,"Luzardo, Jesús",3015,30.9,0.173,0.087,0.316,0.26,0.215,0.199,0.16,34,196,86.3,9.8,2283,86.1,85.06,171,390,542,-1,5.73,108,148,116,147,296,320,289,"14.491","-14.491","69.3","7.8",208,101,23,8,0,3,95,45.7,10,4.8,3.10335,-0.014,-0.74616,0.19425,"91.2",124,27,4,1.9230769230769231,5.7,2.47,-0.26,1.92,0.221,4,"-1.554828326",0.209,0.231,"1.554828326",0.013,0.01200000000000001,0.029,0.016,43.8,"30.3",13.970105733649236,-10.134559935463859,33.36597956830744,0.49473684210526314,38.345575684458424,35.73704721778662
870,657277,"Webb, Logan",3282,26.5,0.289,0.117,0.383,0.406,0.32,0.317,0.257,52,180,87.6,13.7,2543,84.6,85.21,101,345,525,0.6000000000000085,6.71,110,149,119,148,295,324,295,"-1.765","1.765","69.4","7.4",195,131,37,12,0,3,51,26.2,11,5.6,3.22741,-0.03895,-1.21751,-0.10056,"91.4",159,33.07692307692307,11.538461538461538,7.6923076923076925,4.93,-2.08,0.5,1.95,0.33,15,"0.202873563",0.301,0.439,"-0.202873563",0.032,0.029000000000000026,-0.033,0.003,29.3,"20.7",9.630918919888709,-1.906629859306362,34.14223606191893,0.49851632047477745,39.355114176560214,31.657385584827562
850,669160,"May, Dustin",2182,39,0.236,0.097,0.339,0.333,0.264,0.258,0.215,46,195,86.9,14.4,3182,85.2,85.11,100,368,482,-0.10000000000000853,6.48,111,148,120,149,292,317,296,"2.795","-2.795","69.8","7.4",205,128,37,3,2,4,68,33.2,5,2.4,3.36526,-0.19819,-1.40918,0.23311,"91.4",130,35.15625,7.03125,4.390243902439024,4.95,-2.37,0.04,2.07,0.268,9,"-0.328823529",0.251,0.328,"0.328823529",0.021,0.017000000000000015,0.005,0.006,27.2,"20.1",10.36883455446253,-4.951775602228411,34.072508894240144,0.5057142857142857,36.66462699031932,33.46412994231145
677,622663,"Severino, Luis",2735,24.8,0.186,0.135,0.233,0.321,0.264,0.291,0.206,29,156,86.5,19,2581,84.5,84.29,67,295,382,-0.20000000000000284,6.29,112,148,119,148,301,326,295,"-0.15","0.15","70.0","7.6",175,108,18,6,0,5,49,28,12,6.9,3.01211,0.20291,-1.31095,-0.01869,"91.8",159,36.44859813084112,8.411214953271028,5.142857142857142,5.79,-2.24,0.4,2.15,0.269,9,"0.022156573",0.29,0.357,"-0.022156573",-0.02,-0.020999999999999963,-0.036,-0.027,22.7,"36.2",13.59308561478032,-8.616739420322808,31.8847781435816,0.5664335664335665,38.05969027404367,34.5169414178181
637,676664,"Sears, JP",2366,26.9,0.218,0.21,0.235,0.427,0.299,0.272,0.2,27,124,87.3,29.1,2315,79.2,79.03,71,272,365,-0.20000000000000284,6.36,111,151,118,147,301,324,296,"4.731","-4.731","70.5","7.4",134,92,15,5,0,7,33,24.6,7,5.2,3.12163,0.54185,-1.04309,0.50984,"91.9",191,31.521739130434785,9.782608695652174,6.7164179104477615,4.69,1.41,-0.14,2.57,0.269,9,"-0.742700157",0.253,0.376,"0.742700157",0.018,0.016000000000000014,0.051,0.027,26.1,"22.2",13.671404729801063,-9.058727112668663,30.46032181518088,0.5568181818181818,36.237510664961086,35.15304216483531
629,671106,"Allen, Logan",2713,23.2,0.21,0.161,0.275,0.371,0.294,0.272,0.18,30,143,86.1,17.3,2300,78,77.89,67,248,381,-0.09999999999999432,6.27,109,150,121,147,299,320,297,"-6.061","6.061","70.7","7.9",161,96,17,8,0,5,47,29.2,16,9.9,3.69708,0.06566,-1.18879,0.48536,"91.4",148,31.958762886597935,10.309278350515463,6.211180124223603,5.18,2.43,0.08,1.82,0.294,10,"0.963593005",0.267,0.348,"-0.963593005",0.03,0.02699999999999997,0.023,0.022,27,"35.3",15.75436985035618,-13.69991414417898,33.606563958085545,0.5122950819672131,37.78533751259203,39.16996042120014
610,607200,"Fedde, Erick",2374,25.7,0.195,0.156,0.211,0.352,0.286,0.322,0.223,25,128,87.6,19.9,2437,82.6,83.12,72,272,338,0.5,6.66,110,147,116,147,301,324,296,"-2.197","2.197","69.4","7.8",145,100,15,5,0,5,28,19.3,17,11.7,2.98826,0.35931,-1.06779,-0.19333,"91.5",158,38,12,8.275862068965518,5.64,-1.69,0.49,1.9,0.29,12,"0.360163934",0.314,0.425,"-0.360163934",-0.028,-0.02400000000000002,-0.073,-0.036,26.5,"30.1",14.631731101080335,-10.461887209413831,32.9022877362808,0.5551330798479087,40.491361899361124,37.4106339904857
582,668909,"Williams, Gavin",2925,19.9,0.181,0.102,0.303,0.283,0.233,0.245,0.179,23,127,88.7,17.8,2270,86.5,87.39,114,258,324,0.9000000000000057,6.83,112,150,124,147,301,319,294,"5.246","-5.246","67.7","7.7",138,69,16,4,0,3,59,42.8,10,7.2,3.15095,-0.10443,-0.82955,-0.46766,"91.9",159,39.705882352941174,11.76470588235294,5.797101449275362,5.91,-2.91,0.36,1.64,0.239,8,"-0.90137457",0.238,0.319,"0.90137457",0.002,0.0010000000000000009,-0.036,-0.012,44.2,"32.9",13.37130391695345,-8.083893783536174,33.44888597654418,0.4392156862745098,40.383994067361876,35.03153902973767
578,701542,"Warren, Will",2808,20.6,0.336,0.233,0.415,0.569,0.405,0.361,0.291,39,116,88.7,15.9,3024,82.7,82.74,74,224,354,0,6.59,113,149,121,151,294,323,287,"-9.817","9.817","69.7","7.7",129,87,23,10,1,5,31,24,10,7.8,3.35154,0.01691,-1.62652,-0.15396,"92.0",156,41.37931034482759,12.643678160919542,8.527131782945736,5.61,-2.62,0.38,1.91,0.388,11,"1.698442907",0.353,0.478,"-1.698442907",0.045,0.03500000000000003,0.091,0.044,33,"27.4",14.4466296961689,-8.868318449921583,33.05158469149838,0.5700934579439252,39.888648087162885,37.12051798240152
568,621051,"Wilson, Steven",982,57.8,0.215,0.123,0.226,0.338,0.267,0.302,0.237,28,130,87.6,26.9,2648,82.1,82.12,73,274,294,0,6.5,105,149,117,144,300,317,293,"5.147","-5.147","69.0","7.5",149,110,20,4,0,4,26,17.4,13,8.7,3.43681,-0.02873,-1.26296,-0.67289,"91.1",173,27.27272727272727,6.363636363636363,4.697986577181208,5.86,-2.42,0.36,1.95,0.275,7,"-0.906161972",0.299,0.391,"0.906161972",-0.022,-0.023999999999999966,-0.053,-0.035,26.6,"46.9",13.162220408774374,-10.958704616985809,31.883735280113815,0.5539033457249071,39.44701066952955,36.40063993944034
547,656605,"Keller, Mitch",2871,19.1,0.219,0.15,0.276,0.369,0.264,0.278,0.214,35,160,89.7,19.6,2714,82.3,82.54,78,289,258,0.20000000000000284,6.56,109,149,114,148,294,312,292,"3.407","-3.407","69.6","7.6",165,111,23,6,0,6,49,29.7,4,2.4,3.39155,-0.01009,-1.45905,-0.35484,"92.5",151,45.94594594594595,10.81081081081081,7.2727272727272725,5.72,-1.94,0.45,2.1,0.242,12,"-0.62285192",0.238,0.416,"0.62285192",0.005,0.0040000000000000036,-0.047,-0.014,27,"35.4",13.59706666870819,-9.189836777000467,31.023327329003195,0.6063829787234043,38.934202417618565,36.65188633893699
541,694297,"Pfaadt, Brandon",2931,18.5,0.278,0.248,0.345,0.526,0.358,0.323,0.252,37,133,88.5,18.3,2843,84.7,85.04,92,273,268,0.29999999999999716,6.52,110,149,120,148,303,321,297,"-8.45","8.45","68.9","7.8",144,94,19,10,1,7,41,28.5,4,2.8,2.74824,0.43311,-0.87246,-0.42662,"91.7",155,35.1063829787234,7.446808510638298,4.861111111111112,5.4,-2.32,0.63,1.87,0.319,7,"1.561922366",0.298,0.451,"-1.561922366",0.026,0.02100000000000002,0.075,0.035,33.7,"24.1",14.748157726777926,-10.550054189536455,33.05005586462927,0.5940959409594095,41.34014268278233,37.014657302243386
526,601713,"Pivetta, Nick",2856,18.4,0.178,0.076,0.25,0.254,0.206,0.211,0.176,21,118,84.2,25.4,2443,81.9,82.33,101,270,256,0.3999999999999915,6.73,116,152,122,148,306,328,299,"7.405","-7.405","69.4","7.7",123,78,17,1,1,2,40,32.5,5,4.1,3.15732,0.2644,-1.09688,-0.83909,"90.2",169,23.076923076923077,5.128205128205128,3.2520325203252036,6.7,-1.27,0.59,2.44,0.211,4,"-1.407794677",0.209,0.27,"1.407794677",0.002,0.0020000000000000018,-0.016,-0.005,37.4,"53.9",15.406898802546362,-12.489077007164415,29.565541184007603,0.5405405405405406,41.62736147548191,37.869077577388296
526,605280,"Holmes, Clay",2766,19,0.218,0.109,0.295,0.327,0.268,0.263,0.207,24,110,84.5,8.6,2815,81.9,80.77,49,192,334,-1.1000000000000085,5.7,110,149,116,149,301,328,296,"-3.84","3.84","69.3","7.6",119,79,15,7,1,1,31,26.1,6,5,3.94146,-0.50892,-1.39462,-0.30633,"91.3",145,30.37974683544304,3.79746835443038,2.5210084033613445,6.46,-0.88,0.42,2.26,0.277,3,"0.730038023",0.267,0.322,"-0.730038023",0.011,0.010000000000000009,0.005,0.005,25.5,"42.5",15.03100740392382,-8.83785600628817,32.315787061284624,0.5314285714285715,40.61312709038351,36.50034231475589
523,543243,"Gray, Sonny",2724,19.2,0.151,0.09,0.278,0.241,0.174,0.183,0.153,32,212,86.2,10.6,2661,85.1,85.22,132,311,212,0.10000000000000853,6.46,111,148,120,148,300,325,296,"7.029","-7.029","67.1","7.7",216,102,24,2,1,5,111,51.4,2,0.9,3.49805,-0.34257,-1.24369,-0.1448,"92.2",125,37.254901960784316,7.8431372549019605,3.7037037037037033,5.58,-0.8,0.73,1.33,0.162,8,"-1.343977055",0.166,0.259,"1.343977055",-0.002,-0.0040000000000000036,-0.018,-0.009,42.4,"48.1",12.767959772804382,-6.186969637979219,35.38663346090948,0.5339805825242718,39.41230024111052,35.15400702057967
514,689147,"Kerkering, Orion",1083,47.5,0.237,0.153,0.264,0.39,0.287,0.286,0.231,28,118,84.3,21,2898,86.8,86.5,52,219,295,-0.29999999999999716,6.19,109,145,116,145,295,319,289,"-2.019","2.019","68.0","7.5",127,92,20,3,0,5,28,22,5,3.9,2.88475,0.15301,-1.14467,-0.15646,"91.3",153,27.77777777777778,6.666666666666667,4.724409448818897,5.6,-1.89,0.27,1.96,0.276,6,"0.392801556",0.272,0.388,"-0.392801556",0.006,0.0040000000000000036,0.002,0.001,23.7,"27.6",10.5949999007814,-4.7398181463894264,34.570916683268116,0.5280373831775701,37.748123237963526,31.74427582484544
